"id","province","district","urban_rural","age_group","gender","education_level","employed","health_insurance","income","stratum","psu","weight"
38,"Prov2","Dist11","Rural","65+","Male","None",1,0,45967,"Prov2_Rural","Prov2_Rural_11",104.857453934119
39,"Prov3","Dist20","Rural","15-24","Male","Secondary",1,0,110128,"Prov3_Rural","Prov3_Rural_17",112.399215311118
40,"Prov8","Dist2","Urban","65+","Female","Primary",1,1,29201,"Prov8_Urban","Prov8_Urban_8",86.7516533136787
41,"Prov2","Dist9","Rural","15-24","Male","Secondary",1,0,48963,"Prov2_Rural","Prov2_Rural_11",104.857453934119
42,"Prov8","Dist18","Rural","65+","Male","Tertiary",0,0,47442,"Prov8_Rural","Prov8_Rural_10",98.3084531593788
43,"Prov8","Dist4","Rural","65+","Male","Secondary",0,1,27933,"Prov8_Rural","Prov8_Rural_20",98.3084531593788
44,"Prov8","Dist12","Rural","65+","Female","Secondary",0,0,7775,"Prov8_Rural","Prov8_Rural_13",98.3084531593788
45,"Prov9","Dist12","Urban","65+","Female","Secondary",1,0,21333,"Prov9_Urban","Prov9_Urban_7",80.6751578884808
46,"Prov7","Dist4","Urban","65+","Male","Secondary",0,0,50606,"Prov7_Urban","Prov7_Urban_8",77.4277643529747
47,"Prov3","Dist25","Rural","25-44","Male","Secondary",0,0,17536,"Prov3_Rural","Prov3_Rural_1",112.399215311118
48,"Prov7","Dist22","Rural","65+","Female","Secondary",0,1,16830,"Prov7_Rural","Prov7_Rural_15",94.777534377427
49,"Prov10","Dist4","Rural","0-14","Male","Primary",0,0,22489,"Prov10_Rural","Prov10_Rural_3",93.3899526908694
50,"Prov6","Dist30","Rural","45-64","Female","Secondary",1,1,57291,"Prov6_Rural","Prov6_Rural_19",115.536655419542
51,"Prov3","Dist22","Rural","65+","Female","Primary",0,0,27926,"Prov3_Rural","Prov3_Rural_8",112.399215311118
52,"Prov10","Dist5","Urban","15-24","Female","Secondary",1,1,81458,"Prov10_Urban","Prov10_Urban_20",95.3933680941479
53,"Prov7","Dist11","Rural","45-64","Male","Tertiary",1,0,48352,"Prov7_Rural","Prov7_Rural_19",94.777534377427
54,"Prov4","Dist26","Rural","15-24","Male","Secondary",0,0,25654,"Prov4_Rural","Prov4_Rural_9",95.2025594827289
55,"Prov2","Dist15","Urban","25-44","Male","Primary",0,1,16181,"Prov2_Urban","Prov2_Urban_16",131.832986879423
56,"Prov1","Dist6","Urban","0-14","Female","Primary",0,0,23321,"Prov1_Urban","Prov1_Urban_2",103.035300315577
57,"Prov1","Dist24","Urban","25-44","Male","Secondary",0,1,47608,"Prov1_Urban","Prov1_Urban_4",103.035300315577
58,"Prov4","Dist19","Urban","45-64","Female","Primary",0,0,26200,"Prov4_Urban","Prov4_Urban_19",125.766945545763
59,"Prov6","Dist14","Urban","25-44","Female","Primary",0,0,64709,"Prov6_Urban","Prov6_Urban_13",106.840376940182
60,"Prov2","Dist19","Rural","65+","Male","Secondary",0,1,23385,"Prov2_Rural","Prov2_Rural_10",104.857453934119
61,"Prov8","Dist5","Rural","65+","Female","Tertiary",0,0,56689,"Prov8_Rural","Prov8_Rural_8",98.3084531593788
62,"Prov2","Dist25","Rural","45-64","Female","Secondary",0,0,31585,"Prov2_Rural","Prov2_Rural_4",104.857453934119
63,"Prov8","Dist20","Rural","15-24","Male","Primary",0,0,20990,"Prov8_Rural","Prov8_Rural_15",98.3084531593788
64,"Prov2","Dist9","Rural","65+","Female","Tertiary",1,0,77656,"Prov2_Rural","Prov2_Rural_2",104.857453934119
65,"Prov6","Dist26","Rural","15-24","Female","Tertiary",1,1,110701,"Prov6_Rural","Prov6_Rural_10",115.536655419542
66,"Prov5","Dist7","Rural","25-44","Male","Secondary",1,0,40304,"Prov5_Rural","Prov5_Rural_8",110.289452423252
67,"Prov10","Dist30","Rural","0-14","Male","Primary",1,1,67826,"Prov10_Rural","Prov10_Rural_19",93.3899526908694
68,"Prov9","Dist17","Rural","15-24","Female","Primary",0,0,18333,"Prov9_Rural","Prov9_Rural_20",102.574445888518
69,"Prov2","Dist19","Rural","25-44","Female","Secondary",0,0,15094,"Prov2_Rural","Prov2_Rural_18",104.857453934119
70,"Prov8","Dist4","Urban","15-24","Male","Primary",1,0,43469,"Prov8_Urban","Prov8_Urban_6",86.7516533136787
71,"Prov2","Dist16","Urban","45-64","Female","Tertiary",0,1,91021,"Prov2_Urban","Prov2_Urban_5",131.832986879423
72,"Prov3","Dist15","Urban","45-64","Male","Tertiary",1,1,20579,"Prov3_Urban","Prov3_Urban_13",95.0637042351494
73,"Prov2","Dist26","Rural","15-24","Female","Primary",0,0,8978,"Prov2_Rural","Prov2_Rural_8",104.857453934119
74,"Prov7","Dist21","Urban","15-24","Male","Secondary",1,1,27127,"Prov7_Urban","Prov7_Urban_13",77.4277643529747
75,"Prov8","Dist9","Rural","15-24","Male","None",0,0,10601,"Prov8_Rural","Prov8_Rural_15",98.3084531593788
76,"Prov1","Dist12","Rural","65+","Female","Secondary",0,0,59485,"Prov1_Rural","Prov1_Rural_10",139.103490345743
77,"Prov6","Dist11","Rural","65+","Male","Secondary",0,0,16075,"Prov6_Rural","Prov6_Rural_15",115.536655419542
78,"Prov2","Dist26","Urban","65+","Female","Secondary",0,1,22553,"Prov2_Urban","Prov2_Urban_18",131.832986879423
79,"Prov10","Dist23","Urban","65+","Male","Secondary",0,1,42032,"Prov10_Urban","Prov10_Urban_4",95.3933680941479
80,"Prov4","Dist23","Rural","65+","Male","Secondary",1,1,18033,"Prov4_Rural","Prov4_Rural_11",95.2025594827289
81,"Prov10","Dist5","Rural","15-24","Male","Primary",1,1,29571,"Prov10_Rural","Prov10_Rural_14",93.3899526908694
82,"Prov9","Dist20","Rural","45-64","Female","Secondary",0,0,30149,"Prov9_Rural","Prov9_Rural_5",102.574445888518
83,"Prov7","Dist27","Rural","25-44","Female","None",0,1,38320,"Prov7_Rural","Prov7_Rural_10",94.777534377427
84,"Prov7","Dist22","Urban","0-14","Male","Primary",1,0,72283,"Prov7_Urban","Prov7_Urban_6",77.4277643529747
85,"Prov6","Dist3","Urban","45-64","Male","Primary",0,1,55140,"Prov6_Urban","Prov6_Urban_10",106.840376940182
86,"Prov2","Dist5","Rural","65+","Male","Secondary",0,0,35464,"Prov2_Rural","Prov2_Rural_8",104.857453934119
87,"Prov2","Dist12","Rural","15-24","Male","Primary",0,0,17482,"Prov2_Rural","Prov2_Rural_16",104.857453934119
88,"Prov5","Dist3","Urban","15-24","Female","Secondary",0,1,49226,"Prov5_Urban","Prov5_Urban_15",114.42922458093
89,"Prov8","Dist6","Rural","25-44","Female","Primary",0,1,21640,"Prov8_Rural","Prov8_Rural_8",98.3084531593788
90,"Prov4","Dist17","Rural","0-14","Male","Secondary",1,0,15004,"Prov4_Rural","Prov4_Rural_15",95.2025594827289
91,"Prov6","Dist18","Rural","0-14","Female","Secondary",0,0,22455,"Prov6_Rural","Prov6_Rural_20",115.536655419542
92,"Prov10","Dist12","Urban","15-24","Female","Primary",1,1,155041,"Prov10_Urban","Prov10_Urban_13",95.3933680941479
93,"Prov9","Dist26","Rural","65+","Female","None",0,1,46747,"Prov9_Rural","Prov9_Rural_19",102.574445888518
94,"Prov8","Dist21","Urban","25-44","Female","None",0,0,30695,"Prov8_Urban","Prov8_Urban_7",86.7516533136787
95,"Prov6","Dist21","Rural","45-64","Male","Primary",0,0,22425,"Prov6_Rural","Prov6_Rural_18",115.536655419542
96,"Prov10","Dist28","Rural","65+","Male","None",0,0,21760,"Prov10_Rural","Prov10_Rural_1",93.3899526908694
97,"Prov1","Dist8","Rural","25-44","Female","Secondary",0,1,17584,"Prov1_Rural","Prov1_Rural_6",139.103490345743
98,"Prov2","Dist8","Urban","65+","Male","Primary",0,1,42782,"Prov2_Urban","Prov2_Urban_15",131.832986879423
99,"Prov8","Dist18","Rural","0-14","Female","Secondary",0,0,24921,"Prov8_Rural","Prov8_Rural_7",98.3084531593788
100,"Prov6","Dist10","Rural","0-14","Male","Primary",0,0,4870,"Prov6_Rural","Prov6_Rural_11",115.536655419542
101,"Prov4","Dist6","Urban","45-64","Male","Tertiary",0,0,83226,"Prov4_Urban","Prov4_Urban_15",125.766945545763
102,"Prov2","Dist6","Urban","15-24","Female","Primary",1,1,19016,"Prov2_Urban","Prov2_Urban_8",131.832986879423
103,"Prov8","Dist2","Rural","45-64","Male","Secondary",0,0,48393,"Prov8_Rural","Prov8_Rural_2",98.3084531593788
104,"Prov2","Dist21","Rural","15-24","Male","Primary",0,0,10004,"Prov2_Rural","Prov2_Rural_1",104.857453934119
105,"Prov2","Dist16","Rural","65+","Male","Primary",0,0,19130,"Prov2_Rural","Prov2_Rural_4",104.857453934119
106,"Prov6","Dist20","Rural","45-64","Female","Tertiary",0,1,11171,"Prov6_Rural","Prov6_Rural_18",115.536655419542
107,"Prov5","Dist14","Urban","0-14","Female","Secondary",1,1,46092,"Prov5_Urban","Prov5_Urban_16",114.42922458093
108,"Prov5","Dist7","Rural","0-14","Female","Primary",1,1,29268,"Prov5_Rural","Prov5_Rural_17",110.289452423252
109,"Prov9","Dist23","Urban","25-44","Female","Secondary",1,1,37096,"Prov9_Urban","Prov9_Urban_3",80.6751578884808
110,"Prov6","Dist3","Rural","0-14","Female","Tertiary",0,0,68915,"Prov6_Rural","Prov6_Rural_20",115.536655419542
111,"Prov4","Dist24","Rural","25-44","Male","Primary",0,0,26672,"Prov4_Rural","Prov4_Rural_4",95.2025594827289
112,"Prov3","Dist13","Rural","45-64","Female","Tertiary",0,0,97205,"Prov3_Rural","Prov3_Rural_17",112.399215311118
113,"Prov1","Dist2","Rural","65+","Male","Secondary",1,1,84213,"Prov1_Rural","Prov1_Rural_16",139.103490345743
114,"Prov7","Dist26","Urban","25-44","Female","Secondary",0,1,33889,"Prov7_Urban","Prov7_Urban_1",77.4277643529747
115,"Prov6","Dist30","Urban","15-24","Male","Secondary",0,1,37423,"Prov6_Urban","Prov6_Urban_14",106.840376940182
116,"Prov7","Dist20","Urban","25-44","Female","Primary",1,0,99089,"Prov7_Urban","Prov7_Urban_3",77.4277643529747
117,"Prov2","Dist1","Urban","45-64","Female","Secondary",0,1,31272,"Prov2_Urban","Prov2_Urban_16",131.832986879423
118,"Prov6","Dist11","Urban","25-44","Male","Primary",0,0,64751,"Prov6_Urban","Prov6_Urban_13",106.840376940182
119,"Prov6","Dist27","Urban","15-24","Male","Tertiary",1,0,110631,"Prov6_Urban","Prov6_Urban_14",106.840376940182
120,"Prov3","Dist19","Urban","65+","Female","Tertiary",1,1,17158,"Prov3_Urban","Prov3_Urban_4",95.0637042351494
121,"Prov8","Dist18","Rural","25-44","Female","Primary",0,0,33337,"Prov8_Rural","Prov8_Rural_5",98.3084531593788
122,"Prov1","Dist9","Rural","25-44","Female","Primary",1,1,63746,"Prov1_Rural","Prov1_Rural_17",139.103490345743
123,"Prov10","Dist15","Rural","45-64","Male","None",0,1,19036,"Prov10_Rural","Prov10_Rural_6",93.3899526908694
124,"Prov8","Dist30","Rural","0-14","Male","Secondary",0,0,128306,"Prov8_Rural","Prov8_Rural_20",98.3084531593788
125,"Prov7","Dist28","Urban","25-44","Female","Primary",1,1,110223,"Prov7_Urban","Prov7_Urban_18",77.4277643529747
126,"Prov5","Dist3","Rural","15-24","Female","Primary",0,0,9128,"Prov5_Rural","Prov5_Rural_6",110.289452423252
127,"Prov7","Dist28","Urban","15-24","Male","Primary",1,0,127253,"Prov7_Urban","Prov7_Urban_11",77.4277643529747
128,"Prov3","Dist30","Urban","65+","Female","Secondary",1,1,61117,"Prov3_Urban","Prov3_Urban_7",95.0637042351494
129,"Prov7","Dist29","Rural","25-44","Female","Secondary",0,0,28646,"Prov7_Rural","Prov7_Rural_16",94.777534377427
130,"Prov4","Dist15","Rural","45-64","Female","Secondary",0,0,23914,"Prov4_Rural","Prov4_Rural_8",95.2025594827289
131,"Prov9","Dist6","Rural","45-64","Male","None",1,1,24471,"Prov9_Rural","Prov9_Rural_17",102.574445888518
132,"Prov8","Dist22","Rural","45-64","Female","Secondary",0,1,17708,"Prov8_Rural","Prov8_Rural_14",98.3084531593788
133,"Prov10","Dist5","Urban","45-64","Male","Primary",1,1,43462,"Prov10_Urban","Prov10_Urban_16",95.3933680941479
134,"Prov6","Dist22","Urban","25-44","Female","Secondary",0,1,140560,"Prov6_Urban","Prov6_Urban_2",106.840376940182
135,"Prov7","Dist18","Urban","45-64","Male","Tertiary",1,1,257909,"Prov7_Urban","Prov7_Urban_4",77.4277643529747
136,"Prov10","Dist25","Urban","65+","Male","Primary",0,0,41502,"Prov10_Urban","Prov10_Urban_13",95.3933680941479
137,"Prov5","Dist10","Rural","65+","Female","Primary",0,0,16955,"Prov5_Rural","Prov5_Rural_8",110.289452423252
138,"Prov7","Dist8","Urban","15-24","Male","Tertiary",0,0,30335,"Prov7_Urban","Prov7_Urban_6",77.4277643529747
139,"Prov4","Dist23","Rural","25-44","Male","Primary",0,0,13265,"Prov4_Rural","Prov4_Rural_18",95.2025594827289
140,"Prov9","Dist15","Urban","0-14","Male","Secondary",1,0,63774,"Prov9_Urban","Prov9_Urban_11",80.6751578884808
141,"Prov5","Dist16","Urban","25-44","Female","Tertiary",1,1,66718,"Prov5_Urban","Prov5_Urban_13",114.42922458093
142,"Prov5","Dist17","Urban","65+","Female","Tertiary",0,1,59853,"Prov5_Urban","Prov5_Urban_8",114.42922458093
143,"Prov10","Dist19","Urban","65+","Female","Tertiary",0,0,51654,"Prov10_Urban","Prov10_Urban_1",95.3933680941479
144,"Prov3","Dist15","Rural","25-44","Female","Secondary",0,0,31163,"Prov3_Rural","Prov3_Rural_1",112.399215311118
145,"Prov9","Dist11","Rural","65+","Male","Secondary",1,1,36921,"Prov9_Rural","Prov9_Rural_1",102.574445888518
146,"Prov2","Dist10","Rural","0-14","Male","Secondary",0,0,40207,"Prov2_Rural","Prov2_Rural_12",104.857453934119
147,"Prov3","Dist25","Urban","65+","Male","Secondary",1,0,147294,"Prov3_Urban","Prov3_Urban_19",95.0637042351494
148,"Prov9","Dist30","Urban","15-24","Female","None",1,1,44675,"Prov9_Urban","Prov9_Urban_8",80.6751578884808
149,"Prov3","Dist25","Urban","25-44","Male","Secondary",1,0,101823,"Prov3_Urban","Prov3_Urban_19",95.0637042351494
150,"Prov7","Dist16","Urban","45-64","Female","Primary",1,1,94263,"Prov7_Urban","Prov7_Urban_19",77.4277643529747
151,"Prov10","Dist14","Rural","65+","Male","Primary",0,0,22776,"Prov10_Rural","Prov10_Rural_15",93.3899526908694
152,"Prov8","Dist4","Urban","0-14","Male","Tertiary",1,1,147374,"Prov8_Urban","Prov8_Urban_3",86.7516533136787
153,"Prov4","Dist5","Rural","15-24","Female","Secondary",0,1,17575,"Prov4_Rural","Prov4_Rural_10",95.2025594827289
154,"Prov10","Dist16","Rural","25-44","Female","Tertiary",0,0,111180,"Prov10_Rural","Prov10_Rural_2",93.3899526908694
155,"Prov1","Dist24","Rural","15-24","Female","Tertiary",0,0,26283,"Prov1_Rural","Prov1_Rural_20",139.103490345743
156,"Prov9","Dist20","Urban","0-14","Female","Secondary",0,1,35919,"Prov9_Urban","Prov9_Urban_3",80.6751578884808
157,"Prov6","Dist18","Rural","45-64","Male","None",0,0,19555,"Prov6_Rural","Prov6_Rural_4",115.536655419542
158,"Prov3","Dist13","Rural","65+","Male","Secondary",0,0,58407,"Prov3_Rural","Prov3_Rural_5",112.399215311118
159,"Prov8","Dist29","Rural","45-64","Female","Secondary",0,0,28996,"Prov8_Rural","Prov8_Rural_20",98.3084531593788
160,"Prov10","Dist29","Rural","15-24","Female","Primary",0,0,28132,"Prov10_Rural","Prov10_Rural_8",93.3899526908694
161,"Prov4","Dist21","Rural","0-14","Female","Secondary",0,0,33354,"Prov4_Rural","Prov4_Rural_7",95.2025594827289
162,"Prov5","Dist16","Urban","65+","Male","Primary",1,1,32262,"Prov5_Urban","Prov5_Urban_7",114.42922458093
163,"Prov7","Dist5","Urban","15-24","Male","None",0,1,34384,"Prov7_Urban","Prov7_Urban_7",77.4277643529747
164,"Prov6","Dist5","Urban","45-64","Male","Tertiary",1,0,133213,"Prov6_Urban","Prov6_Urban_16",106.840376940182
165,"Prov4","Dist10","Rural","45-64","Male","None",1,1,15250,"Prov4_Rural","Prov4_Rural_7",95.2025594827289
166,"Prov4","Dist6","Urban","45-64","Male","None",0,1,34223,"Prov4_Urban","Prov4_Urban_11",125.766945545763
167,"Prov6","Dist27","Rural","25-44","Female","Secondary",0,0,39203,"Prov6_Rural","Prov6_Rural_3",115.536655419542
168,"Prov4","Dist3","Urban","45-64","Female","Secondary",1,1,81786,"Prov4_Urban","Prov4_Urban_20",125.766945545763
169,"Prov10","Dist19","Rural","0-14","Female","None",1,0,62447,"Prov10_Rural","Prov10_Rural_8",93.3899526908694
170,"Prov3","Dist26","Rural","65+","Female","Primary",0,1,7575,"Prov3_Rural","Prov3_Rural_20",112.399215311118
171,"Prov9","Dist30","Rural","25-44","Female","None",1,1,52638,"Prov9_Rural","Prov9_Rural_19",102.574445888518
172,"Prov7","Dist1","Rural","15-24","Male","Primary",0,0,47916,"Prov7_Rural","Prov7_Rural_1",94.777534377427
173,"Prov10","Dist9","Rural","45-64","Male","Secondary",0,0,40652,"Prov10_Rural","Prov10_Rural_16",93.3899526908694
174,"Prov6","Dist17","Urban","15-24","Female","Secondary",1,1,209394,"Prov6_Urban","Prov6_Urban_1",106.840376940182
175,"Prov8","Dist1","Urban","45-64","Female","Primary",1,0,41933,"Prov8_Urban","Prov8_Urban_7",86.7516533136787
176,"Prov5","Dist11","Rural","45-64","Male","Secondary",0,0,18277,"Prov5_Rural","Prov5_Rural_4",110.289452423252
177,"Prov10","Dist16","Urban","25-44","Female","Secondary",0,1,45943,"Prov10_Urban","Prov10_Urban_16",95.3933680941479
178,"Prov2","Dist15","Rural","45-64","Male","Secondary",1,0,29621,"Prov2_Rural","Prov2_Rural_15",104.857453934119
179,"Prov7","Dist6","Urban","25-44","Female","Primary",1,1,44198,"Prov7_Urban","Prov7_Urban_12",77.4277643529747
180,"Prov3","Dist24","Rural","65+","Male","None",0,0,16454,"Prov3_Rural","Prov3_Rural_17",112.399215311118
181,"Prov4","Dist23","Rural","15-24","Male","Primary",1,0,74237,"Prov4_Rural","Prov4_Rural_4",95.2025594827289
182,"Prov3","Dist3","Urban","0-14","Female","Primary",0,0,52397,"Prov3_Urban","Prov3_Urban_9",95.0637042351494
183,"Prov6","Dist17","Rural","25-44","Female","None",0,1,12524,"Prov6_Rural","Prov6_Rural_15",115.536655419542
184,"Prov5","Dist28","Rural","65+","Female","Primary",0,0,21074,"Prov5_Rural","Prov5_Rural_12",110.289452423252
185,"Prov6","Dist23","Urban","65+","Male","Primary",1,1,42106,"Prov6_Urban","Prov6_Urban_8",106.840376940182
186,"Prov7","Dist22","Urban","0-14","Male","Secondary",1,0,125063,"Prov7_Urban","Prov7_Urban_18",77.4277643529747
187,"Prov1","Dist18","Rural","45-64","Male","Tertiary",0,0,10150,"Prov1_Rural","Prov1_Rural_5",139.103490345743
188,"Prov4","Dist1","Urban","25-44","Male","Primary",1,1,32717,"Prov4_Urban","Prov4_Urban_10",125.766945545763
189,"Prov5","Dist2","Rural","0-14","Female","Primary",0,1,11957,"Prov5_Rural","Prov5_Rural_9",110.289452423252
190,"Prov1","Dist18","Urban","45-64","Male","Secondary",1,1,105050,"Prov1_Urban","Prov1_Urban_20",103.035300315577
191,"Prov9","Dist22","Urban","65+","Female","Tertiary",1,0,120494,"Prov9_Urban","Prov9_Urban_18",80.6751578884808
192,"Prov6","Dist22","Urban","0-14","Male","Secondary",0,1,57346,"Prov6_Urban","Prov6_Urban_6",106.840376940182
193,"Prov5","Dist9","Rural","45-64","Male","Tertiary",0,1,118821,"Prov5_Rural","Prov5_Rural_16",110.289452423252
194,"Prov5","Dist5","Urban","25-44","Female","None",0,1,66789,"Prov5_Urban","Prov5_Urban_6",114.42922458093
195,"Prov4","Dist4","Rural","65+","Male","Primary",0,0,37128,"Prov4_Rural","Prov4_Rural_5",95.2025594827289
196,"Prov3","Dist30","Urban","0-14","Male","Tertiary",0,0,100752,"Prov3_Urban","Prov3_Urban_12",95.0637042351494
197,"Prov9","Dist1","Urban","15-24","Female","None",1,0,32587,"Prov9_Urban","Prov9_Urban_13",80.6751578884808
198,"Prov5","Dist9","Urban","65+","Female","Primary",0,1,26313,"Prov5_Urban","Prov5_Urban_2",114.42922458093
199,"Prov4","Dist19","Urban","45-64","Male","Primary",1,0,41794,"Prov4_Urban","Prov4_Urban_14",125.766945545763
200,"Prov6","Dist23","Rural","25-44","Male","Secondary",1,0,27911,"Prov6_Rural","Prov6_Rural_18",115.536655419542
201,"Prov5","Dist27","Urban","25-44","Female","Tertiary",0,1,137601,"Prov5_Urban","Prov5_Urban_15",114.42922458093
202,"Prov10","Dist1","Urban","45-64","Male","Primary",0,1,22852,"Prov10_Urban","Prov10_Urban_11",95.3933680941479
203,"Prov8","Dist23","Urban","25-44","Male","None",1,1,94321,"Prov8_Urban","Prov8_Urban_3",86.7516533136787
204,"Prov6","Dist12","Rural","65+","Female","Secondary",0,0,18156,"Prov6_Rural","Prov6_Rural_15",115.536655419542
205,"Prov4","Dist9","Urban","45-64","Male","Tertiary",0,1,122330,"Prov4_Urban","Prov4_Urban_2",125.766945545763
206,"Prov6","Dist30","Urban","45-64","Female","Primary",1,0,54935,"Prov6_Urban","Prov6_Urban_13",106.840376940182
207,"Prov8","Dist27","Urban","65+","Male","Primary",0,0,29200,"Prov8_Urban","Prov8_Urban_1",86.7516533136787
208,"Prov10","Dist24","Rural","65+","Male","Primary",0,1,30364,"Prov10_Rural","Prov10_Rural_12",93.3899526908694
209,"Prov2","Dist25","Urban","15-24","Female","None",0,0,20844,"Prov2_Urban","Prov2_Urban_8",131.832986879423
210,"Prov7","Dist11","Rural","45-64","Male","Secondary",1,0,29411,"Prov7_Rural","Prov7_Rural_16",94.777534377427
211,"Prov2","Dist27","Rural","45-64","Female","Secondary",0,0,64947,"Prov2_Rural","Prov2_Rural_18",104.857453934119
212,"Prov8","Dist12","Rural","45-64","Female","Primary",0,0,14385,"Prov8_Rural","Prov8_Rural_1",98.3084531593788
213,"Prov2","Dist8","Rural","15-24","Female","Secondary",0,1,15714,"Prov2_Rural","Prov2_Rural_7",104.857453934119
214,"Prov4","Dist25","Rural","45-64","Male","Primary",0,0,22997,"Prov4_Rural","Prov4_Rural_15",95.2025594827289
215,"Prov1","Dist8","Rural","15-24","Male","Primary",0,0,11611,"Prov1_Rural","Prov1_Rural_15",139.103490345743
216,"Prov4","Dist19","Rural","65+","Female","Tertiary",0,0,29475,"Prov4_Rural","Prov4_Rural_2",95.2025594827289
217,"Prov1","Dist17","Urban","25-44","Female","Tertiary",1,0,62789,"Prov1_Urban","Prov1_Urban_3",103.035300315577
218,"Prov8","Dist29","Rural","45-64","Female","Primary",0,1,43718,"Prov8_Rural","Prov8_Rural_6",98.3084531593788
