"respondent_id","age","urban_rural","education","mode","satisfaction","income_reported","responded","mode_weight"
52,76,"Urban","Low","Web",6.8,103405,0,2.92361111111111
53,43,"Urban","Medium","Web",5.2,58609,0,2.92361111111111
54,78,"Urban","High","Web",4.9,32302,1,2.92361111111111
55,29,"Urban","Low","Web",6.4,52179,0,2.92361111111111
56,46,"Urban","Low","Phone",7.9,46596,0,1.79284369114878
57,60,"Rural","High","Face-to-face",9.1,51828,1,1.30944625407166
58,52,"Urban","Medium","Web",6.3,98425,1,2.92361111111111
59,59,"Rural","Medium","Face-to-face",8,40561,1,1.30944625407166
60,29,"Urban","High","Phone",5,13275,1,1.79284369114878
61,44,"Rural","Medium","Face-to-face",7.9,93226,1,1.30944625407166
62,69,"Urban","Medium","Phone",6.6,44791,0,1.79284369114878
63,20,"Rural","Low","Web",6.9,42779,0,2.92361111111111
64,33,"Urban","Low","Web",6.4,32905,0,2.92361111111111
65,56,"Urban","High","Phone",7.1,70930,0,1.79284369114878
66,56,"Rural","Low","Phone",7.4,23404,1,1.79284369114878
67,64,"Urban","Medium","Web",6.4,46068,1,2.92361111111111
68,39,"Rural","Low","Phone",7.9,22015,1,1.79284369114878
69,73,"Rural","Low","Phone",6.4,63607,1,1.79284369114878
70,69,"Rural","Medium","Face-to-face",8.3,34845,0,1.30944625407166
71,32,"Urban","High","Web",7.5,54861,0,2.92361111111111
72,31,"Rural","Medium","Web",6.9,26444,0,2.92361111111111
73,64,"Urban","Low","Phone",7.5,34028,0,1.79284369114878
74,61,"Urban","Low","Face-to-face",6.2,20971,0,1.30944625407166
75,53,"Rural","Medium","Face-to-face",8.4,12406,1,1.30944625407166
76,80,"Rural","Medium","Face-to-face",7.5,45972,0,1.30944625407166
77,35,"Rural","Low","Phone",8.3,33947,0,1.79284369114878
78,76,"Rural","Medium","Face-to-face",9.1,19821,1,1.30944625407166
79,21,"Urban","Medium","Web",5.8,80689,0,2.92361111111111
80,56,"Urban","High","Web",6.2,35033,0,2.92361111111111
81,69,"Rural","Medium","Face-to-face",8.6,69335,1,1.30944625407166
82,26,"Urban","Low","Web",6.6,105999,1,2.92361111111111
83,78,"Rural","High","Phone",6.5,63792,1,1.79284369114878
84,53,"Urban","High","Web",6.2,83689,1,2.92361111111111
85,80,"Rural","Medium","Face-to-face",6.4,27840,0,1.30944625407166
86,22,"Rural","Medium","Web",6.9,52193,1,2.92361111111111
87,33,"Urban","High","Phone",7.2,34448,0,1.79284369114878
88,72,"Urban","Medium","Phone",7.5,44467,0,1.79284369114878
89,71,"Rural","Medium","Face-to-face",8.5,45465,1,1.30944625407166
90,78,"Rural","Low","Face-to-face",7.1,18931,0,1.30944625407166
91,32,"Rural","Medium","Web",6.3,44881,1,2.92361111111111
92,38,"Urban","Medium","Web",7.1,70026,0,2.92361111111111
93,54,"Urban","Low","Web",7.6,17456,1,2.92361111111111
94,59,"Urban","Low","Web",7.2,32485,0,2.92361111111111
95,75,"Urban","Medium","Phone",5.8,23284,0,1.79284369114878
96,61,"Urban","Medium","Web",6.9,31254,0,2.92361111111111
97,53,"Urban","Medium","Phone",5.6,28127,1,1.79284369114878
98,46,"Urban","Low","Phone",6.7,65975,1,1.79284369114878
99,29,"Rural","Low","Phone",6,72245,1,1.79284369114878
100,18,"Rural","Low","Face-to-face",6.8,62653,1,1.30944625407166
101,46,"Rural","High","Web",8.2,73830,1,2.92361111111111
102,56,"Rural","Low","Phone",7.2,45359,1,1.79284369114878
103,43,"Urban","Medium","Phone",7.8,16747,1,1.79284369114878
104,41,"Rural","Medium","Web",8.6,59120,0,2.92361111111111
105,71,"Urban","Low","Face-to-face",8.3,23710,1,1.30944625407166
106,49,"Urban","Medium","Web",7.2,238928,0,2.92361111111111
107,45,"Urban","High","Web",6.1,31624,0,2.92361111111111
108,37,"Urban","Low","Web",7,39560,1,2.92361111111111
109,59,"Urban","Low","Web",4.8,54798,1,2.92361111111111
110,72,"Urban","Low","Face-to-face",7.9,40699,1,1.30944625407166
111,29,"Rural","High","Web",6.8,58486,0,2.92361111111111
112,29,"Rural","Medium","Face-to-face",7.8,49245,1,1.30944625407166
113,79,"Urban","High","Web",5.7,60188,1,2.92361111111111
114,26,"Urban","Medium","Phone",6.5,90172,1,1.79284369114878
115,65,"Urban","Low","Phone",7.6,31346,1,1.79284369114878
116,43,"Urban","Low","Phone",7.7,42761,1,1.79284369114878
117,46,"Rural","Medium","Phone",7.9,22987,0,1.79284369114878
118,77,"Rural","Medium","Phone",6.1,32451,0,1.79284369114878
119,44,"Urban","Medium","Phone",6.6,23408,1,1.79284369114878
120,76,"Rural","High","Face-to-face",7.6,23062,0,1.30944625407166
121,37,"Rural","Medium","Phone",6.7,65222,1,1.79284369114878
122,70,"Urban","Medium","Web",4.4,39235,0,2.92361111111111
123,27,"Rural","Medium","Face-to-face",8.4,31272,1,1.30944625407166
124,28,"Urban","Medium","Face-to-face",7.9,103190,0,1.30944625407166
125,42,"Rural","High","Web",5.1,25297,1,2.92361111111111
126,77,"Urban","Medium","Face-to-face",6.7,13410,1,1.30944625407166
127,52,"Urban","Medium","Web",7,23630,1,2.92361111111111
128,80,"Urban","Medium","Phone",7.2,46347,0,1.79284369114878
129,49,"Urban","Medium","Phone",6.7,28269,0,1.79284369114878
130,61,"Rural","Low","Face-to-face",8.2,45998,1,1.30944625407166
131,45,"Rural","Low","Face-to-face",9.8,35876,1,1.30944625407166
132,40,"Rural","High","Face-to-face",7,87786,1,1.30944625407166
133,31,"Urban","Low","Web",6.2,20184,0,2.92361111111111
134,79,"Rural","Medium","Face-to-face",7,31095,1,1.30944625407166
135,28,"Urban","High","Phone",6.8,36557,0,1.79284369114878
136,74,"Urban","High","Web",6.6,65688,0,2.92361111111111
137,41,"Rural","Medium","Face-to-face",8,16960,1,1.30944625407166
138,67,"Rural","Medium","Face-to-face",7.9,33300,1,1.30944625407166
139,28,"Urban","Medium","Face-to-face",7.4,31775,1,1.30944625407166
140,53,"Rural","Medium","Phone",6.8,18645,1,1.79284369114878
141,60,"Urban","High","Phone",5.6,39860,0,1.79284369114878
142,49,"Urban","Medium","Phone",7,35099,0,1.79284369114878
143,33,"Rural","Medium","Web",6.8,38077,0,2.92361111111111
144,63,"Urban","High","Phone",6.3,88445,1,1.79284369114878
145,19,"Urban","Medium","Face-to-face",9.1,45033,1,1.30944625407166
146,76,"Urban","High","Phone",6.7,25687,0,1.79284369114878
147,33,"Urban","Medium","Face-to-face",7.3,41591,1,1.30944625407166
148,42,"Rural","Low","Web",8.4,86038,0,2.92361111111111
149,53,"Rural","Medium","Phone",5.7,39347,0,1.79284369114878
150,47,"Rural","High","Face-to-face",6,31417,1,1.30944625407166
151,58,"Rural","Low","Face-to-face",8.7,46221,1,1.30944625407166
152,78,"Rural","Medium","Face-to-face",8.5,30609,1,1.30944625407166
153,69,"Urban","Medium","Face-to-face",9,40354,1,1.30944625407166
154,77,"Rural","Low","Face-to-face",6,46144,0,1.30944625407166
155,72,"Rural","Low","Face-to-face",8.1,17529,1,1.30944625407166
156,46,"Rural","Medium","Face-to-face",8.5,71921,1,1.30944625407166
157,38,"Urban","High","Phone",6.4,62367,0,1.79284369114878
158,78,"Rural","Low","Face-to-face",8.5,60765,1,1.30944625407166
159,50,"Urban","Medium","Web",7.5,30529,0,2.92361111111111
160,32,"Rural","Medium","Face-to-face",8.4,27919,1,1.30944625407166
161,49,"Rural","Medium","Face-to-face",8.5,22738,1,1.30944625407166
162,18,"Rural","Low","Web",6.3,40686,0,2.92361111111111
163,29,"Rural","Medium","Phone",4.7,80740,0,1.79284369114878
164,46,"Rural","Medium","Phone",7.5,25756,1,1.79284369114878
165,64,"Urban","High","Web",7.6,65437,1,2.92361111111111
166,22,"Rural","Low","Face-to-face",9.3,31586,1,1.30944625407166
167,26,"Rural","Low","Face-to-face",7.1,34842,1,1.30944625407166
168,46,"Urban","Low","Web",7.5,41777,0,2.92361111111111
169,26,"Urban","High","Web",5.7,31461,0,2.92361111111111
170,53,"Urban","Medium","Web",6.7,71513,1,2.92361111111111
171,29,"Rural","Medium","Face-to-face",8.4,59520,1,1.30944625407166
172,28,"Urban","Low","Phone",8.4,17356,0,1.79284369114878
173,32,"Urban","Medium","Web",6.2,37049,1,2.92361111111111
174,73,"Urban","Medium","Web",6.2,46983,0,2.92361111111111
175,24,"Rural","Low","Web",5.6,46738,0,2.92361111111111
176,30,"Rural","Low","Web",6.1,25217,0,2.92361111111111
177,19,"Rural","Medium","Face-to-face",9.3,23373,1,1.30944625407166
178,67,"Urban","Medium","Phone",7.6,14951,0,1.79284369114878
179,31,"Rural","Medium","Phone",4.8,54128,0,1.79284369114878
180,56,"Urban","High","Web",6.9,30448,1,2.92361111111111
181,75,"Rural","Medium","Face-to-face",7.1,23159,0,1.30944625407166
182,60,"Urban","Low","Web",5.2,43513,1,2.92361111111111
183,47,"Urban","Low","Phone",6.9,47019,1,1.79284369114878
184,41,"Urban","Low","Web",7.3,18355,0,2.92361111111111
185,48,"Urban","High","Web",4.9,56385,1,2.92361111111111
186,18,"Urban","Medium","Web",7.7,40182,0,2.92361111111111
187,40,"Urban","Medium","Web",7.4,38285,0,2.92361111111111
188,35,"Urban","Low","Phone",6.3,23242,1,1.79284369114878
189,24,"Urban","High","Phone",6,70147,0,1.79284369114878
190,48,"Rural","High","Face-to-face",7.1,51939,0,1.30944625407166
191,18,"Rural","Low","Face-to-face",8,76095,0,1.30944625407166
192,32,"Urban","Low","Phone",6.7,25011,0,1.79284369114878
193,42,"Urban","High","Phone",6.2,50772,1,1.79284369114878
194,27,"Rural","Medium","Face-to-face",8.8,21367,1,1.30944625407166
195,61,"Rural","Low","Face-to-face",7.3,62082,1,1.30944625407166
196,43,"Urban","Medium","Phone",6.3,23736,0,1.79284369114878
197,39,"Rural","Low","Phone",7,43878,0,1.79284369114878
198,56,"Rural","Medium","Web",7.9,95451,1,2.92361111111111
199,80,"Urban","Medium","Web",5.2,92719,0,2.92361111111111
200,77,"Rural","Medium","Face-to-face",7.6,23505,1,1.30944625407166
201,75,"Urban","Low","Phone",7.5,19097,1,1.79284369114878
202,50,"Urban","Medium","Phone",8.4,36218,1,1.79284369114878
203,51,"Urban","Medium","Face-to-face",9.5,38570,1,1.30944625407166
204,66,"Urban","Low","Face-to-face",7.4,35088,1,1.30944625407166
205,69,"Rural","Medium","Face-to-face",7,68617,1,1.30944625407166
206,28,"Urban","High","Web",4.4,27394,0,2.92361111111111
207,41,"Urban","High","Web",6.3,41284,0,2.92361111111111
208,62,"Urban","Medium","Face-to-face",6.1,77934,1,1.30944625407166
209,41,"Rural","Medium","Face-to-face",8.7,56306,0,1.30944625407166
210,41,"Rural","Low","Face-to-face",8.1,48267,1,1.30944625407166
211,18,"Urban","Low","Phone",6.3,37498,1,1.79284369114878
212,73,"Urban","High","Web",8.9,29310,0,2.92361111111111
213,77,"Urban","Medium","Face-to-face",9.2,69469,1,1.30944625407166
214,80,"Rural","Medium","Face-to-face",9.2,57011,0,1.30944625407166
215,51,"Rural","Medium","Face-to-face",8.4,82571,1,1.30944625407166
216,69,"Rural","Low","Face-to-face",8.2,21750,1,1.30944625407166
217,20,"Urban","Medium","Face-to-face",7.9,44484,0,1.30944625407166
218,35,"Rural","Medium","Face-to-face",7.4,24991,1,1.30944625407166
219,44,"Rural","High","Web",6.9,56954,0,2.92361111111111
220,20,"Urban","Medium","Face-to-face",7,69221,1,1.30944625407166
221,19,"Rural","Medium","Web",5.4,54911,1,2.92361111111111
222,41,"Rural","Low","Face-to-face",7.7,22253,1,1.30944625407166
223,35,"Rural","Medium","Phone",7.5,41991,0,1.79284369114878
224,49,"Urban","Medium","Phone",8.4,12769,1,1.79284369114878
225,37,"Urban","High","Web",7,51375,0,2.92361111111111
226,36,"Urban","Low","Web",6,39157,0,2.92361111111111
227,30,"Urban","Low","Phone",5.4,66771,1,1.79284369114878
228,26,"Rural","Low","Phone",5.6,39258,1,1.79284369114878
229,62,"Rural","Medium","Face-to-face",10,60335,1,1.30944625407166
230,45,"Urban","Low","Phone",9.1,57384,0,1.79284369114878
231,19,"Rural","Medium","Face-to-face",9.2,21168,1,1.30944625407166
232,39,"Rural","High","Face-to-face",8.6,52312,1,1.30944625407166
233,59,"Urban","Low","Phone",7.6,47151,1,1.79284369114878
234,26,"Rural","Low","Face-to-face",8.5,57471,1,1.30944625407166
235,47,"Urban","Medium","Web",5.6,79640,0,2.92361111111111
236,26,"Rural","Low","Face-to-face",8.8,58105,0,1.30944625407166
237,38,"Rural","Medium","Face-to-face",7.1,34946,1,1.30944625407166
238,27,"Rural","High","Web",7.5,54041,0,2.92361111111111
239,41,"Rural","Medium","Face-to-face",7.7,16530,1,1.30944625407166
240,28,"Urban","Low","Phone",6.2,49788,1,1.79284369114878
241,30,"Rural","High","Face-to-face",7.7,78948,1,1.30944625407166
242,65,"Rural","Medium","Face-to-face",7.5,42995,1,1.30944625407166
243,31,"Rural","Low","Face-to-face",8.8,45316,1,1.30944625407166
244,52,"Urban","Medium","Phone",6.8,23613,0,1.79284369114878
245,59,"Rural","Medium","Face-to-face",8.2,56671,1,1.30944625407166
246,27,"Urban","Medium","Face-to-face",7.4,56642,1,1.30944625407166
247,70,"Rural","High","Phone",4.7,54694,1,1.79284369114878
248,62,"Urban","Medium","Face-to-face",9.3,19381,1,1.30944625407166
249,62,"Rural","High","Face-to-face",8.4,29029,0,1.30944625407166
250,60,"Urban","Medium","Phone",7.7,31723,0,1.79284369114878
251,50,"Rural","Medium","Phone",7.4,27045,1,1.79284369114878
252,73,"Rural","High","Phone",7.3,45722,0,1.79284369114878
253,21,"Rural","High","Phone",7.2,19208,0,1.79284369114878
254,58,"Urban","Medium","Web",5.3,69587,0,2.92361111111111
255,71,"Rural","Medium","Face-to-face",8.2,63194,1,1.30944625407166
256,22,"Rural","Medium","Face-to-face",6.8,11903,1,1.30944625407166
257,24,"Rural","Medium","Face-to-face",6.3,74374,1,1.30944625407166
258,80,"Rural","Low","Face-to-face",8.2,66626,1,1.30944625407166
259,23,"Urban","Low","Web",6.1,30339,0,2.92361111111111
260,47,"Rural","Medium","Face-to-face",8,19428,1,1.30944625407166
261,39,"Rural","Medium","Face-to-face",8.9,86594,1,1.30944625407166
262,46,"Urban","Low","Phone",6.6,41119,1,1.79284369114878
263,67,"Urban","Medium","Web",7.6,17836,0,2.92361111111111
264,43,"Rural","Low","Phone",6.1,16630,1,1.79284369114878
265,74,"Urban","High","Web",7.3,66088,1,2.92361111111111
266,67,"Rural","High","Face-to-face",8.3,86628,1,1.30944625407166
267,59,"Rural","Medium","Face-to-face",7.2,64345,1,1.30944625407166
268,80,"Rural","Medium","Face-to-face",9.2,44025,1,1.30944625407166
269,36,"Rural","Medium","Face-to-face",7.6,117431,1,1.30944625407166
270,77,"Rural","Low","Phone",7.5,33286,1,1.79284369114878
271,31,"Urban","Low","Web",5.7,61858,0,2.92361111111111
272,57,"Urban","Medium","Web",6.2,49922,0,2.92361111111111
273,79,"Urban","Low","Phone",7.5,21583,1,1.79284369114878
274,62,"Urban","Medium","Face-to-face",7.8,72220,1,1.30944625407166
275,22,"Urban","Low","Web",7.8,114767,0,2.92361111111111
276,25,"Urban","Low","Phone",8.3,27708,1,1.79284369114878
277,35,"Rural","Medium","Web",7.3,42907,1,2.92361111111111
278,18,"Urban","High","Phone",6.9,38247,1,1.79284369114878
279,57,"Urban","Medium","Web",6.5,86621,0,2.92361111111111
280,69,"Rural","High","Web",7,20216,0,2.92361111111111
281,58,"Rural","Low","Web",6.9,60783,0,2.92361111111111
282,58,"Urban","Medium","Face-to-face",8.3,40374,1,1.30944625407166
283,38,"Rural","Medium","Phone",7.2,28717,1,1.79284369114878
284,24,"Rural","Medium","Web",6.9,56503,0,2.92361111111111
285,70,"Urban","Medium","Web",6.8,97601,0,2.92361111111111
286,65,"Rural","Medium","Face-to-face",8.1,58531,1,1.30944625407166
287,61,"Urban","Medium","Phone",7.8,17463,0,1.79284369114878
288,60,"Urban","Low","Phone",7.4,42928,1,1.79284369114878
289,78,"Rural","High","Phone",5.5,19648,1,1.79284369114878
290,56,"Urban","Medium","Web",7.5,30056,0,2.92361111111111
291,33,"Rural","Medium","Face-to-face",6.5,62114,1,1.30944625407166
292,55,"Urban","Medium","Phone",6.3,21921,1,1.79284369114878
293,48,"Rural","Medium","Phone",7.1,58813,1,1.79284369114878
294,67,"Rural","Low","Phone",7.6,25413,0,1.79284369114878
295,55,"Rural","High","Face-to-face",7.1,23320,1,1.30944625407166
296,66,"Rural","Low","Face-to-face",9.3,17624,1,1.30944625407166
297,23,"Urban","Low","Phone",7.6,243318,1,1.79284369114878
298,77,"Urban","High","Phone",7.8,29424,1,1.79284369114878
299,23,"Urban","Low","Phone",6.9,44177,1,1.79284369114878
300,63,"Urban","Low","Face-to-face",7.9,36308,1,1.30944625407166
301,49,"Rural","Medium","Face-to-face",8.5,42691,0,1.30944625407166
302,26,"Rural","Low","Face-to-face",7.3,38576,1,1.30944625407166
303,19,"Rural","Medium","Phone",6.6,37676,1,1.79284369114878
304,57,"Urban","Medium","Face-to-face",8,43980,1,1.30944625407166
305,38,"Rural","Medium","Face-to-face",9.6,20843,1,1.30944625407166
306,57,"Urban","Medium","Web",5.7,40109,1,2.92361111111111
307,62,"Urban","High","Phone",8.1,37176,0,1.79284369114878
308,66,"Urban","Medium","Face-to-face",7.4,31592,1,1.30944625407166
309,52,"Urban","Medium","Web",6.3,40671,1,2.92361111111111
310,61,"Urban","Medium","Face-to-face",7.7,23251,0,1.30944625407166
311,44,"Rural","High","Phone",7.6,56188,1,1.79284369114878
312,58,"Urban","Medium","Phone",8.3,30888,0,1.79284369114878
313,60,"Urban","Low","Phone",7.8,23789,1,1.79284369114878
314,58,"Urban","Low","Phone",7.2,25545,1,1.79284369114878
315,51,"Urban","Low","Phone",5.9,25532,1,1.79284369114878
316,54,"Urban","Medium","Web",5.8,47340,0,2.92361111111111
317,80,"Urban","Low","Web",5.8,37885,1,2.92361111111111
318,76,"Urban","High","Web",6.2,31212,0,2.92361111111111
319,35,"Urban","High","Web",5.4,32872,0,2.92361111111111
320,46,"Rural","Medium","Phone",6,63864,1,1.79284369114878
321,70,"Rural","Low","Face-to-face",7.4,62339,1,1.30944625407166
322,58,"Urban","Medium","Phone",5.8,52038,1,1.79284369114878
323,80,"Urban","Medium","Face-to-face",7.7,38514,0,1.30944625407166
324,31,"Urban","Low","Phone",8.2,38898,1,1.79284369114878
325,28,"Urban","Medium","Phone",8.1,20347,1,1.79284369114878
326,18,"Rural","Low","Face-to-face",8,42731,1,1.30944625407166
327,78,"Urban","High","Web",5.4,37420,0,2.92361111111111
328,30,"Urban","Low","Web",7.6,48024,1,2.92361111111111
329,57,"Rural","Low","Phone",6.4,19312,1,1.79284369114878
330,47,"Rural","High","Phone",8,38954,1,1.79284369114878
331,30,"Urban","Medium","Web",6.9,63043,0,2.92361111111111
332,80,"Urban","High","Web",5.5,122938,0,2.92361111111111
333,19,"Urban","Medium","Phone",7.1,72625,0,1.79284369114878
334,30,"Rural","High","Phone",7.4,33124,0,1.79284369114878
335,57,"Urban","Low","Phone",7.6,36735,1,1.79284369114878
336,37,"Urban","Medium","Web",6.7,63000,1,2.92361111111111
337,74,"Urban","Low","Face-to-face",7.9,29883,1,1.30944625407166
338,35,"Rural","Low","Face-to-face",8.1,28697,1,1.30944625407166
339,50,"Rural","Medium","Phone",7.6,69042,0,1.79284369114878
340,38,"Rural","Medium","Phone",7.9,44656,1,1.79284369114878
341,62,"Rural","Low","Face-to-face",8.7,38657,1,1.30944625407166
342,48,"Rural","Low","Web",8.1,55312,1,2.92361111111111
343,34,"Urban","High","Web",5.8,54843,1,2.92361111111111
344,25,"Urban","Low","Phone",6.9,29921,1,1.79284369114878
345,30,"Urban","High","Phone",6.6,31691,1,1.79284369114878
346,21,"Urban","Medium","Phone",6.5,41312,0,1.79284369114878
347,34,"Rural","Medium","Face-to-face",8.1,37838,1,1.30944625407166
348,28,"Rural","High","Web",5.4,70528,1,2.92361111111111
349,37,"Rural","Medium","Web",10.1,36559,1,2.92361111111111
350,37,"Rural","Medium","Phone",7.3,23438,1,1.79284369114878
351,55,"Rural","Low","Phone",6.9,54934,1,1.79284369114878
352,77,"Rural","Medium","Face-to-face",8.1,25288,1,1.30944625407166
353,30,"Urban","Medium","Face-to-face",6.3,32367,1,1.30944625407166
354,56,"Rural","High","Web",5.1,70215,1,2.92361111111111
355,74,"Rural","Low","Face-to-face",7.2,72861,1,1.30944625407166
356,53,"Urban","High","Phone",7.7,58647,1,1.79284369114878
357,24,"Rural","Medium","Face-to-face",8.4,34522,1,1.30944625407166
358,74,"Urban","Medium","Phone",6.3,27077,1,1.79284369114878
359,43,"Rural","Low","Face-to-face",8.8,22086,0,1.30944625407166
360,72,"Rural","Low","Face-to-face",6.9,32346,0,1.30944625407166
361,20,"Rural","Medium","Phone",7.4,64408,1,1.79284369114878
362,18,"Rural","Medium","Web",6.1,57769,1,2.92361111111111
363,72,"Rural","Medium","Face-to-face",8.3,41498,0,1.30944625407166
364,55,"Urban","High","Phone",4.4,31281,1,1.79284369114878
365,24,"Urban","High","Web",7.1,36008,1,2.92361111111111
366,80,"Urban","Low","Web",6.5,38481,1,2.92361111111111
367,39,"Rural","Medium","Face-to-face",6.7,119717,0,1.30944625407166
368,38,"Urban","Low","Phone",7.7,29069,0,1.79284369114878
369,73,"Rural","High","Face-to-face",7.9,43042,1,1.30944625407166
370,25,"Rural","Medium","Phone",8.5,90805,0,1.79284369114878
371,61,"Rural","Medium","Face-to-face",6.9,39174,1,1.30944625407166
372,78,"Urban","Low","Phone",8.3,30508,1,1.79284369114878
373,53,"Urban","Medium","Web",6.4,59057,1,2.92361111111111
374,35,"Urban","Medium","Phone",5.5,29029,0,1.79284369114878
375,43,"Urban","Low","Web",4.8,49390,0,2.92361111111111
376,32,"Rural","Medium","Face-to-face",9.1,74208,1,1.30944625407166
377,27,"Urban","Medium","Phone",5.2,45443,0,1.79284369114878
378,43,"Urban","Low","Phone",7.1,37011,1,1.79284369114878
379,70,"Rural","High","Phone",7.1,31325,1,1.79284369114878
380,33,"Urban","Medium","Phone",5.3,26260,1,1.79284369114878
381,58,"Urban","Medium","Phone",5.8,75518,1,1.79284369114878
382,53,"Rural","Medium","Face-to-face",7.2,34192,0,1.30944625407166
383,19,"Rural","High","Phone",6.8,83252,0,1.79284369114878
384,72,"Rural","Low","Face-to-face",9,55983,0,1.30944625407166
385,37,"Rural","Medium","Face-to-face",7.6,42184,1,1.30944625407166
386,75,"Rural","Medium","Face-to-face",7.6,17339,1,1.30944625407166
387,59,"Urban","Medium","Web",6.9,53277,0,2.92361111111111
388,59,"Urban","High","Phone",5.7,94998,1,1.79284369114878
389,61,"Rural","Medium","Face-to-face",7.5,41109,1,1.30944625407166
390,58,"Urban","Medium","Phone",6.6,156811,1,1.79284369114878
391,24,"Urban","Medium","Web",7.4,125783,0,2.92361111111111
392,78,"Rural","Low","Face-to-face",7.9,40942,1,1.30944625407166
393,79,"Urban","Medium","Phone",6.6,21587,0,1.79284369114878
394,52,"Rural","Low","Face-to-face",8.8,37100,1,1.30944625407166
395,74,"Urban","Medium","Face-to-face",7.6,45071,1,1.30944625407166
396,33,"Urban","Medium","Phone",8.9,28075,0,1.79284369114878
397,42,"Urban","Medium","Phone",7.5,45690,0,1.79284369114878
398,34,"Urban","High","Web",6.3,13634,0,2.92361111111111
399,65,"Urban","Low","Face-to-face",7.1,26158,1,1.30944625407166
400,44,"Rural","Medium","Web",4.6,20826,0,2.92361111111111
401,29,"Rural","Medium","Face-to-face",7.5,36770,1,1.30944625407166
402,53,"Rural","Medium","Face-to-face",9.3,22049,1,1.30944625407166
403,59,"Urban","Low","Phone",7.5,48387,0,1.79284369114878
404,52,"Urban","Low","Phone",6.7,34350,1,1.79284369114878
405,47,"Rural","Medium","Phone",6,65061,0,1.79284369114878
406,49,"Rural","Medium","Face-to-face",8.1,75195,0,1.30944625407166
407,62,"Rural","Medium","Face-to-face",8.6,17289,1,1.30944625407166
408,39,"Urban","Medium","Phone",7.5,39107,1,1.79284369114878
409,71,"Urban","Medium","Web",5.4,40366,1,2.92361111111111
410,63,"Urban","Low","Phone",7,54386,0,1.79284369114878
