"household_id","cluster_id","country","region_type","household_size","head_age","head_gender","head_education","monthly_income","employed_members","electricity_access","water_access","internet_access","health_insurance","distance_health_facility","owns_land","livestock_count","interview_date","response_status","sampling_weight"
"HH00056",20,"Botswana","Urban",4,29,"Male","Tertiary",19122,2,1,1,0,1,7.2,0,2,2025-01-26,"Complete",171.078369952738
"HH00057",218,"Malawi","Rural",5,45,"Male","Primary",3905,2,1,1,1,0,4.1,0,3,2025-03-07,"Complete",163.205236708745
"HH00058",205,"Tanzania","Urban",7,18,"Female","Primary",3769,2,1,1,0,0,2.7,0,0,2025-01-21,"Complete",141.196923563257
"HH00059",11,"Zimbabwe","Rural",4,72,"Female","Secondary",1826,1,0,1,0,1,7,0,1,2025-02-05,"Complete",94.5264452137053
"HH00060",247,"Namibia","Rural",8,18,"Female","Primary",6764,5,0,1,1,0,2.8,1,2,2025-01-20,"Complete",81.0865205014125
"HH00061",51,"Zambia","Rural",5,50,"Male","Secondary",867,3,1,1,1,0,0.9,0,3,2025-01-17,"Complete",170.493067626376
"HH00062",169,"Malawi","Rural",6,28,"Male","Secondary",4661,1,1,1,1,0,6.1,0,1,2025-01-17,"Complete",103.993085084949
"HH00063",27,"Zimbabwe","Urban",5,45,"Male","Secondary",12918,0,1,0,0,0,4.7,0,0,2025-03-26,"Complete",143.21677510161
"HH00064",144,"Zambia","Urban",7,47,"Male","Secondary",20143,3,0,1,0,0,4.3,0,4,2025-02-04,"Partial",157.88429051172
"HH00065",214,"Zimbabwe","Rural",7,48,"Male","Primary",2514,3,0,1,1,0,1.3,1,1,2025-03-07,"Complete",85.6818403815851
"HH00066",48,"Zimbabwe","Urban",6,60,"Male","Tertiary",47650,2,1,1,1,0,16,1,5,2025-01-17,"Complete",90.2122585917823
"HH00067",82,"South Africa","Rural",2,53,"Male","Primary",7687,0,1,0,0,0,2.2,1,2,2025-02-07,"Complete",92.2206024057232
"HH00068",145,"Botswana","Urban",10,61,"Male","Secondary",4636,4,1,1,0,0,6.6,1,5,2025-03-28,"Complete",186.086811765563
"HH00069",81,"Botswana","Rural",8,42,"Male","Tertiary",14638,2,1,1,0,0,2.4,0,0,2025-01-28,"Complete",76.3486217241734
"HH00070",232,"Zambia","Rural",3,69,"Male","Primary",5322,1,1,1,1,1,0.2,1,0,2025-03-16,"Complete",114.349240565207
"HH00071",153,"South Africa","Urban",7,27,"Male","Tertiary",45645,3,1,1,1,0,2.1,0,1,2025-03-06,"Complete",108.070024242625
"HH00072",38,"South Africa","Rural",3,37,"Male","Tertiary",8230,1,1,1,0,0,0.9,0,1,2025-03-14,"Complete",146.440232521854
"HH00073",184,"Zambia","Rural",5,37,"Female","No education",5095,3,1,0,0,0,4.1,0,1,2025-03-14,"Complete",172.813286620658
"HH00074",242,"Tanzania","Rural",3,75,"Male","Secondary",3493,0,0,1,0,1,6.1,0,3,2025-02-28,"Complete",67.6692352397367
"HH00075",176,"Malawi","Urban",6,45,"Male","Primary",17506,3,0,1,0,0,0.1,0,3,2025-03-22,"Partial",134.100178454537
"HH00076",4,"South Africa","Rural",5,25,"Female","Tertiary",3501,0,1,1,0,0,4.7,1,2,2025-03-23,"Complete",164.047184144147
"HH00077",152,"Zimbabwe","Urban",6,49,"Female","No education",1675,1,1,1,0,1,6.9,0,1,2025-01-29,"Complete",168.847114278469
"HH00078",241,"South Africa","Urban",4,31,"Male","No education",1820,0,1,1,0,0,2.9,1,1,2025-03-14,"Partial",160.423148481641
"HH00079",5,"Malawi","Rural",5,59,"Female","Secondary",3702,1,1,1,0,0,2.5,1,3,2025-03-16,"Partial",144.093022402376
"HH00080",226,"Zimbabwe","Urban",6,32,"Female","Primary",16305,3,1,1,0,0,4.6,0,2,2025-02-10,"Partial",156.24958651606
"HH00081",157,"Malawi","Rural",6,41,"Male","Primary",2724,3,1,0,0,0,4.6,0,2,2025-03-08,"Complete",95.474185992498
"HH00082",239,"South Africa","Urban",3,33,"Female","No education",7681,0,1,1,1,0,1.8,1,1,2025-03-12,"Complete",152.107694174629
"HH00083",69,"Namibia","Urban",4,32,"Male","Primary",4700,1,1,1,0,1,3.1,1,0,2025-03-02,"Complete",167.820096481591
"HH00084",80,"Botswana","Rural",4,51,"Female","Tertiary",6728,1,0,1,0,0,2.9,1,3,2025-03-17,"Complete",185.475747345481
"HH00085",246,"Tanzania","Urban",4,69,"Female","Secondary",10616,0,0,1,1,0,1.7,1,2,2025-02-02,"Refused",178.564288886264
"HH00086",107,"Mozambique","Rural",2,51,"Male","Secondary",2148,1,1,1,0,0,4.8,0,2,2025-03-12,"Complete",174.77151863277
"HH00087",41,"Mozambique","Rural",5,40,"Female","Secondary",13415,3,1,1,0,0,8.5,0,4,2025-03-04,"Partial",166.469866142143
"HH00088",182,"South Africa","Urban",3,49,"Male","Secondary",NA,0,1,1,0,1,2.3,1,2,2025-01-08,"Complete",67.3806155100465
"HH00089",24,"Botswana","Rural",8,51,"Male","Tertiary",19860,3,1,1,1,0,1.6,0,2,2025-02-28,"Partial",134.771998471115
"HH00090",87,"Malawi","Urban",7,52,"Male","No education",1236,2,0,1,0,0,5,1,3,2025-02-10,"Complete",99.3645229609683
"HH00091",104,"Tanzania","Urban",4,36,"Male","No education",1384,3,1,1,0,1,4.3,0,1,2025-01-07,"Complete",199.295812810306
"HH00092",15,"Tanzania","Urban",3,65,"Male","Primary",1682,0,0,1,0,0,1.9,0,2,2025-03-05,"Complete",141.857868584339
"HH00093",52,"South Africa","Urban",3,47,"Female","No education",2436,0,1,1,0,0,4.6,1,2,2025-02-23,"Complete",198.889579996467
"HH00094",12,"Mozambique","Urban",5,45,"Female","No education",7311,1,0,1,1,0,3.6,0,2,2025-01-06,"Complete",150.078418513294
"HH00095",230,"South Africa","Rural",7,39,"Male","Primary",1873,0,0,1,1,0,3.4,1,1,2025-01-18,"Refused",82.1519919903949
"HH00096",213,"Zambia","Urban",6,54,"Male","Secondary",2332,1,1,1,1,0,3.3,0,3,2025-03-20,"Complete",115.03790639108
"HH00097",131,"Mozambique","Rural",2,32,"Female","Secondary",4916,0,1,0,1,0,2.4,0,2,2025-03-02,"Complete",82.3151309625246
"HH00098",44,"South Africa","Rural",8,41,"Male","Primary",4512,6,1,1,0,0,2.1,0,4,2025-02-10,"Complete",144.284440134652
"HH00099",8,"Zimbabwe","Rural",4,18,"Male","No education",2022,1,0,0,0,1,1.5,0,0,2025-01-04,"Refused",136.393978772685
"HH00100",136,"South Africa","Rural",4,65,"Male","Tertiary",5193,0,1,1,0,0,NA,1,0,2025-01-25,"Complete",146.582723339088
"HH00101",23,"Mozambique","Rural",3,39,"Female","Secondary",3921,1,1,1,1,0,0.4,1,1,2025-01-26,"Complete",126.482387387659
"HH00102",8,"South Africa","Rural",5,18,"Male","Primary",3024,1,1,0,1,1,1,1,2,2025-01-02,"Complete",59.4893966335803
"HH00103",130,"South Africa","Rural",3,49,"Female","Primary",15533,1,1,1,0,0,1.5,0,2,2025-03-25,"Complete",68.9690859755501
"HH00104",226,"Namibia","Rural",4,58,"Female",NA,4164,1,0,1,1,0,2.6,0,4,2025-02-26,"Complete",125.292199954856
"HH00105",154,"Tanzania","Rural",6,42,"Male","Tertiary",2936,1,1,1,0,0,2.8,1,4,2025-03-22,"Refused",70.3757479321212
"HH00106",13,"Zimbabwe","Rural",4,45,"Male",NA,2107,1,1,1,0,0,1.2,1,2,2025-03-07,"Complete",138.928664894775
"HH00107",234,"Zambia","Rural",3,34,"Male","No education",881,0,0,1,0,1,5.2,1,2,2025-01-04,"Complete",117.356782150455
"HH00108",16,"Malawi","Urban",6,51,"Female","Secondary",26158,2,0,1,0,0,0.7,0,1,2025-02-15,"Complete",182.511123234872
"HH00109",105,"Botswana","Rural",3,58,"Female","Primary",2932,0,0,1,1,0,3,1,4,2025-02-07,"Complete",118.472731171641
"HH00110",231,"Malawi","Rural",2,33,"Male","Secondary",7684,0,1,1,1,0,4.5,0,1,2025-03-16,"Complete",122.486614738591
"HH00111",49,"Namibia","Urban",3,49,"Male","No education",4948,2,1,1,0,1,5.6,1,0,2025-01-17,"Complete",75.0019758706912
"HH00112",175,"Malawi","Rural",6,21,"Male","Secondary",1811,2,1,1,0,0,3.1,1,1,2025-02-05,"Refused",127.227895229589
"HH00113",237,"Mozambique","Rural",6,45,"Female","Secondary",3655,4,1,1,0,1,6.7,0,2,2025-02-25,"Partial",106.301174347755
"HH00114",196,"Zambia","Rural",6,25,"Male","Primary",1229,1,1,1,1,0,1.7,1,3,2025-01-18,"Complete",67.2308224136941
"HH00115",142,"Namibia","Urban",8,49,"Female","Primary",11972,3,1,1,0,0,1.1,1,1,2025-01-30,"Complete",66.0398235428147
"HH00116",59,"South Africa","Rural",6,35,"Female","No education",7364,2,1,1,0,1,3.3,0,1,2025-03-12,"Complete",86.3390278653242
"HH00117",110,"Zimbabwe","Rural",4,77,"Male","Primary",2220,1,1,1,1,1,1.8,1,5,2025-01-24,"Complete",189.12585118087
"HH00118",140,"South Africa","Urban",6,78,"Male","Secondary",6430,3,1,0,0,0,4.8,0,3,2025-02-10,"Partial",142.733184236567
"HH00119",84,"Zambia","Urban",4,18,"Male","No education",29492,1,1,0,1,0,5.7,1,0,2025-01-30,"Partial",151.829528878443
"HH00120",96,"South Africa","Rural",5,26,"Female","Secondary",6664,2,0,1,1,0,1.8,0,2,2025-02-01,"Complete",190.815443894826
"HH00121",23,"South Africa","Rural",6,43,"Female","Secondary",1367,3,1,1,0,0,2.4,0,0,2025-01-23,"Complete",182.058948092163
"HH00122",169,"Zambia","Rural",4,31,"Male","Secondary",5556,3,1,1,0,1,1.2,1,4,2025-02-02,"Complete",57.1187150897458
"HH00123",39,"Mozambique","Rural",7,63,"Male","Primary",4774,3,1,1,0,0,5,0,2,2025-02-19,"Complete",78.2469878089614
"HH00124",159,"Tanzania","Urban",8,79,"Female","Secondary",17349,2,1,1,0,0,1.4,0,3,2025-01-28,"Complete",150.368553027511
"HH00125",71,"Malawi","Urban",7,62,"Female","Secondary",49290,2,1,1,0,0,5,0,2,2025-01-13,"Partial",59.207226568833
"HH00126",52,"Zambia","Rural",4,34,"Male","No education",2078,1,1,1,1,0,3,0,2,2025-01-19,"Complete",173.881036275998
"HH00127",37,"South Africa","Rural",3,52,"Female","Tertiary",3874,1,1,1,0,1,2.2,0,3,2025-03-29,"Complete",168.308779597282
"HH00128",228,"Zambia","Urban",3,18,"Female","Primary",4142,1,1,0,0,0,5.2,1,3,2025-02-15,"Complete",57.421755080577
"HH00129",212,"Mozambique","Rural",5,49,"Female","Tertiary",8941,1,1,1,0,0,7.7,1,2,2025-03-19,"Complete",57.1944161434658
"HH00130",78,"South Africa","Rural",5,36,"Male","No education",2300,2,0,1,1,0,NA,1,3,2025-01-05,"Complete",116.784098674543
"HH00131",242,"Namibia","Rural",4,51,"Female","No education",7141,0,0,1,0,0,3.6,0,4,2025-01-05,"Complete",106.719842902385
"HH00132",136,"Zambia","Urban",8,32,"Male","Tertiary",10444,4,1,1,1,0,2,0,1,2025-02-15,"Complete",139.473974436987
"HH00133",117,"Botswana","Rural",4,50,"Female","Tertiary",11339,1,1,1,1,0,2.3,0,0,2025-03-08,"Complete",147.540277510416
"HH00134",169,"Botswana","Urban",8,47,"Male","Primary",32012,1,0,1,1,1,NA,0,1,2025-01-22,"Complete",117.91592927184
"HH00135",87,"Zimbabwe","Urban",6,50,"Female","Primary",13781,2,1,1,0,0,3.5,1,5,2025-01-23,"Complete",128.303354245145
"HH00136",52,"Zambia","Urban",8,18,"Male","Primary",7308,2,0,1,1,0,10.2,1,0,2025-01-16,"Complete",77.8420809423551
"HH00137",117,"Tanzania","Rural",5,62,"Male","Primary",1169,0,1,1,1,0,NA,0,2,2025-01-26,"Complete",66.8065132922493
"HH00138",164,"Namibia","Rural",6,39,"Male","Secondary",26192,2,0,0,0,0,1.3,0,2,2025-01-29,"Complete",62.0193235459737
"HH00139",246,"South Africa","Urban",6,29,"Male","Secondary",8455,2,0,1,0,1,2.8,1,2,2025-03-22,"Complete",180.986717680935
"HH00140",74,"Malawi","Rural",2,33,"Male","No education",4123,0,1,1,1,1,2.3,1,3,2025-02-06,"Complete",124.855474510696
"HH00141",212,"Botswana","Urban",5,54,"Female","Primary",2684,1,0,1,1,1,1.2,0,4,2025-02-17,"Complete",184.725664102007
"HH00142",164,"Zambia","Rural",4,43,"Female","Primary",3096,2,0,1,0,0,1.2,1,1,2025-03-24,"Complete",180.339919670951
"HH00143",160,"South Africa","Urban",3,30,"Male","Primary",3242,0,1,1,1,1,1.9,0,3,2025-02-19,"Complete",184.112868015654
"HH00144",19,"Zimbabwe","Urban",4,24,"Male","Tertiary",9204,2,1,1,0,0,2.3,0,5,2025-03-13,"Complete",122.977863554843
"HH00145",213,"Zimbabwe","Rural",6,57,"Male","No education",2996,1,1,1,0,0,1.2,0,2,2025-02-27,"Partial",160.465697257314
"HH00146",170,"Zambia","Rural",3,31,"Female","Primary",2426,1,1,0,0,0,3.4,0,2,2025-03-20,"Complete",166.178644844331
"HH00147",57,"South Africa","Rural",7,43,"Male","Secondary",3823,3,1,1,1,0,8,1,5,2025-03-06,"Partial",127.874592621811
"HH00148",218,"Zimbabwe","Rural",6,38,"Female","Secondary",6898,3,0,0,0,0,6.6,1,5,2025-01-31,"Complete",148.410090932157
"HH00149",246,"Tanzania","Rural",5,32,"Female","Primary",6727,1,1,1,0,0,2.2,0,4,2025-01-18,"Complete",79.5148362289183
"HH00150",179,"Zambia","Rural",4,41,"Male","Primary",3641,2,1,1,0,0,1.1,0,4,2025-01-17,"Complete",77.0327999140136
"HH00151",56,"Botswana","Urban",5,18,"Female","Tertiary",3972,1,1,0,0,0,1.6,0,2,2025-02-19,"Complete",191.433263744693
"HH00152",114,"Namibia","Urban",8,75,"Female",NA,25408,6,0,1,0,1,6.2,0,2,2025-01-08,"Complete",92.7028159494512
"HH00153",127,"Mozambique","Rural",3,39,"Female","Secondary",1727,0,1,1,0,1,9.2,0,6,2025-01-02,"Complete",171.657367935404
"HH00154",23,"Tanzania","Urban",4,61,"Male","No education",4687,0,1,1,1,0,11.7,0,3,2025-01-21,"Partial",161.713668412995
"HH00155",148,"South Africa","Urban",3,25,"Female","Primary",15297,1,1,1,0,0,13.1,0,3,2025-01-30,"Refused",95.1597874052823
"HH00156",78,"Malawi","Urban",4,86,"Female","No education",13675,0,1,1,0,1,8.3,1,1,2025-03-30,"Complete",128.723337640986
"HH00157",149,"Tanzania","Rural",6,37,"Male","Secondary",40939,1,1,1,1,1,2.9,1,3,2025-01-20,"Refused",161.692521465011
"HH00158",97,"Mozambique","Rural",9,63,"Male","No education",2085,5,0,1,0,0,NA,0,0,2025-02-13,"Complete",172.902304772288
"HH00159",226,"Zimbabwe","Rural",2,32,"Female","Secondary",2888,0,1,1,0,1,3.5,0,3,2025-02-22,"Refused",69.6246585808694
"HH00160",110,"Mozambique","Rural",4,64,"Female","Secondary",8233,0,1,1,0,1,3.2,1,2,2025-02-09,"Refused",89.1246783314273
"HH00161",210,"Namibia","Rural",3,59,"Female","Primary",10227,1,1,1,0,0,5,1,6,2025-02-07,"Complete",77.0295064896345
"HH00162",10,"South Africa","Rural",4,40,"Male","Primary",3273,0,1,0,0,1,3.4,1,1,2025-03-24,"Complete",76.6957315267064
"HH00163",241,"Namibia","Rural",3,57,"Female","Primary",1098,0,1,1,1,0,3.9,1,3,2025-02-02,"Complete",73.6045074299909
"HH00164",143,"Mozambique","Rural",5,55,"Male","Secondary",9300,2,1,1,0,1,3.2,0,3,2025-02-19,"Complete",105.874107580166
"HH00165",231,"Zambia","Rural",3,25,"Female","Primary",4900,2,1,1,0,1,4.6,0,5,2025-02-26,"Complete",145.859235455282
"HH00166",18,"Namibia","Urban",4,41,"Male","No education",2007,0,1,0,0,0,1.7,0,4,2025-02-26,"Complete",151.035527011845
"HH00167",129,"Tanzania","Urban",4,47,"Male","Primary",2727,1,1,1,0,0,3.2,0,4,2025-02-22,"Complete",151.815197849646
"HH00168",158,"Mozambique","Rural",4,36,"Male","Secondary",2809,1,1,1,1,0,5.8,0,3,2025-01-03,"Complete",74.1500458330847
"HH00169",103,"Mozambique","Rural",4,35,"Male","Secondary",16155,2,1,1,1,1,1.5,1,3,2025-03-28,"Refused",84.8233273020014
"HH00170",180,"South Africa","Rural",1,20,"Male","Secondary",3077,0,1,1,1,1,10,1,2,2025-02-26,"Complete",77.4894532281905
"HH00171",28,"Zambia","Rural",4,54,"Female",NA,8572,2,0,1,1,0,2.3,0,2,2025-02-23,"Complete",130.584989767522
"HH00172",177,"Zambia","Urban",5,61,"Male","No education",2056,3,0,1,0,1,9.4,1,3,2025-01-17,"Complete",54.3740486376919
"HH00173",174,"Malawi","Rural",6,60,"Male","Secondary",11270,1,0,1,0,0,6.2,0,2,2025-02-09,"Complete",139.859966002405
"HH00174",248,"South Africa","Rural",10,44,"Male","Primary",10628,3,0,1,0,0,2.5,1,6,2025-01-02,"Complete",86.8919454864226
"HH00175",235,"South Africa","Rural",7,18,"Female","Secondary",11263,4,0,1,0,1,6.7,1,2,2025-03-04,"Partial",91.697647748515
"HH00176",240,"South Africa","Urban",6,34,"Male","Tertiary",2417,2,1,1,1,0,2.8,1,3,2025-02-10,"Complete",79.2644975939766
"HH00177",6,"Zambia","Rural",2,18,"Female","Primary",5745,0,1,1,1,0,10.4,0,2,2025-02-24,"Complete",164.608650782611
"HH00178",90,"Mozambique","Urban",8,38,"Female","Secondary",NA,4,0,1,0,0,1.5,0,2,2025-01-04,"Complete",105.134741263464
"HH00179",203,"Malawi","Rural",5,58,"Female","Primary",2328,2,1,1,1,0,8.8,1,2,2025-02-21,"Complete",184.29737451952
"HH00180",231,"Zimbabwe","Rural",5,30,"Male","Tertiary",22044,1,1,1,1,1,2.7,1,0,2025-03-16,"Complete",157.384168927092
"HH00181",250,"Tanzania","Rural",7,59,"Male","Primary",1845,2,1,1,0,0,2.4,1,1,2025-03-06,"Complete",61.9678296381608
"HH00182",191,"Zimbabwe","Rural",2,18,"Female","Primary",600,0,0,1,1,0,4.3,0,3,2025-02-06,"Partial",64.2952728550881
"HH00183",52,"Mozambique","Rural",4,53,"Male","Primary",20799,1,0,1,0,0,NA,0,1,2025-01-15,"Complete",82.8952642041259
"HH00184",25,"Malawi","Rural",4,36,"Male","Tertiary",9207,0,0,1,1,0,3.6,1,3,2025-02-12,"Complete",79.6965907793492
"HH00185",209,"Mozambique","Urban",9,48,"Male","Primary",2932,3,1,0,0,1,6.1,0,2,2025-02-14,"Complete",51.0618802974932
"HH00186",6,"Zambia","Urban",6,50,"Female","Secondary",4880,4,1,1,0,0,1.4,1,1,2025-03-29,"Complete",50.5434863036498
"HH00187",113,"Zambia","Urban",5,50,"Female","Secondary",8184,2,1,1,1,0,2.4,1,0,2025-03-26,"Complete",126.155467599165
"HH00188",184,"Botswana","Rural",6,39,"Male","No education",3389,1,1,0,0,1,1.2,0,1,2025-02-03,"Complete",137.922324729152
"HH00189",121,"Zimbabwe","Urban",4,45,"Female","Primary",7103,2,1,1,0,1,2.8,0,6,2025-02-14,"Complete",133.650114538614
"HH00190",58,"Namibia","Rural",5,46,"Male","Secondary",1853,0,1,0,0,1,10,1,2,2025-01-03,"Complete",110.728744370863
"HH00191",39,"Zimbabwe","Urban",5,26,"Male","Secondary",3602,1,1,1,1,1,4.2,1,1,2025-01-01,"Complete",106.754427123815
"HH00192",158,"Mozambique","Urban",3,61,"Female","Primary",38192,0,1,1,0,1,7.2,1,2,2025-01-31,"Complete",176.519360893872
"HH00193",45,"Botswana","Rural",6,56,"Male","Secondary",7849,2,1,1,0,0,10.3,0,2,2025-03-26,"Partial",92.8312430507503
"HH00194",247,"Zambia","Rural",7,35,"Female","Primary",1966,3,1,1,0,0,6.2,0,1,2025-03-14,"Complete",165.049453428946
