"household_id","panel","wave","panel_wave","income","employment","expenditure"
"P1_H291",1,1,1,58619,1,41233
"P1_H292",1,1,1,27392,0,57297
"P1_H293",1,1,1,26662,1,56084
"P1_H294",1,1,1,76008,0,48621
"P1_H295",1,1,1,27091,1,38464
"P1_H296",1,1,1,39204,1,37890
"P1_H297",1,1,1,68460,1,55905
"P1_H298",1,1,1,40097,1,42381
"P1_H299",1,1,1,118273,1,33376
"P1_H300",1,1,1,88678,0,26689
"P1_H301",1,1,1,69130,1,46462
"P1_H302",1,1,1,46378,1,64271
"P1_H303",1,1,1,61201,0,29838
"P1_H304",1,1,1,53865,0,76185
"P1_H305",1,1,1,69476,1,38251
"P1_H306",1,1,1,57614,1,72733
"P1_H307",1,1,1,34416,1,29068
"P1_H308",1,1,1,46768,1,52114
"P1_H309",1,1,1,36324,1,35974
"P1_H310",1,1,1,95004,1,50943
"P1_H311",1,1,1,38591,0,36090
"P1_H312",1,1,1,77255,0,40143
"P1_H313",1,1,1,48325,0,42713
"P1_H314",1,1,1,38819,0,38281
"P1_H315",1,1,1,86617,1,37699
"P1_H316",1,1,1,49826,1,68380
"P1_H317",1,1,1,45023,1,45209
"P1_H318",1,1,1,34422,0,79131
"P1_H319",1,1,1,56346,0,41542
"P1_H320",1,1,1,27559,1,45135
"P1_H321",1,1,1,59828,1,28414
"P1_H322",1,1,1,37874,0,44946
"P1_H323",1,1,1,68763,1,69369
"P1_H324",1,1,1,47964,1,33430
"P1_H325",1,1,1,46076,0,39267
"P1_H326",1,1,1,34866,1,57704
"P1_H327",1,1,1,59748,1,34257
"P1_H328",1,1,1,41382,1,49872
"P1_H329",1,1,1,72391,1,33765
"P1_H330",1,1,1,26607,1,47627
"P1_H331",1,1,1,43308,1,42538
"P1_H332",1,1,1,48415,1,24806
"P1_H333",1,1,1,48630,1,98574
"P1_H334",1,1,1,37109,1,50385
"P1_H335",1,1,1,52488,1,75838
"P1_H336",1,1,1,27024,1,34745
"P1_H337",1,1,1,63001,0,33498
"P1_H338",1,1,1,21070,0,46360
"P1_H339",1,1,1,40761,1,64004
"P1_H340",1,1,1,55152,1,33815
"P1_H341",1,1,1,101462,1,33111
"P1_H342",1,1,1,30266,1,67658
"P1_H343",1,1,1,63289,1,47780
"P1_H344",1,1,1,69074,0,31920
"P1_H345",1,1,1,34710,0,29995
"P1_H346",1,1,1,75947,1,24537
"P1_H347",1,1,1,97086,1,33001
"P1_H348",1,1,1,28698,1,33287
"P1_H349",1,1,1,46931,1,51548
"P1_H350",1,1,1,62666,1,38392
"P1_H351",1,1,1,33131,1,32876
"P1_H352",1,1,1,33495,0,64827
"P1_H353",1,1,1,46874,1,39946
"P1_H354",1,1,1,52137,0,39398
"P1_H355",1,1,1,51420,1,30968
"P1_H356",1,1,1,36276,1,27618
"P1_H357",1,1,1,118060,0,27537
"P1_H358",1,1,1,47071,1,43479
"P1_H359",1,1,1,34509,1,47574
"P1_H360",1,1,1,52193,1,46635
"P1_H361",1,1,1,92815,0,46538
"P1_H362",1,1,1,47385,1,50113
"P1_H363",1,1,1,35360,1,48320
"P1_H364",1,1,1,49599,1,40525
"P1_H365",1,1,1,64662,1,55944
"P1_H366",1,1,1,46602,1,64759
"P1_H367",1,1,1,33513,1,25120
"P1_H368",1,1,1,64216,1,34486
"P1_H369",1,1,1,40938,1,51384
"P1_H370",1,1,1,76611,0,54864
"P1_H371",1,1,1,48240,1,57005
"P1_H372",1,1,1,85337,1,40256
"P1_H373",1,1,1,52558,1,42136
"P1_H374",1,1,1,68408,0,49407
"P1_H375",1,1,1,35072,1,32743
"P1_H376",1,1,1,68583,1,28449
"P1_H377",1,1,1,34372,0,70586
"P1_H378",1,1,1,92406,1,56843
"P1_H379",1,1,1,88550,1,26592
"P1_H380",1,1,1,70970,0,36162
"P1_H381",1,1,1,43892,0,38531
"P1_H382",1,1,1,47864,1,45351
"P1_H383",1,1,1,81346,1,41471
"P1_H384",1,1,1,35890,0,60642
"P1_H385",1,1,1,61315,0,31652
"P1_H386",1,1,1,44705,1,39010
"P1_H387",1,1,1,77225,1,40256
"P1_H388",1,1,1,29394,0,25241
"P1_H389",1,1,1,45203,0,50909
"P1_H390",1,1,1,70915,0,36110
"P1_H391",1,1,1,71280,1,43974
"P1_H392",1,1,1,25584,1,44665
"P1_H393",1,1,1,57182,1,40379
"P1_H394",1,1,1,113768,1,49375
"P1_H395",1,1,1,58387,0,33224
"P1_H396",1,1,1,57768,1,52457
"P1_H397",1,1,1,23206,1,42052
"P1_H398",1,1,1,40401,1,34885
"P1_H399",1,1,1,60138,1,35421
"P1_H400",1,1,1,46764,0,58641
"P1_H401",1,1,1,47207,1,29123
"P1_H402",1,1,1,58886,1,31828
"P1_H403",1,1,1,69650,0,51677
"P1_H404",1,1,1,90355,1,59738
"P1_H405",1,1,1,64816,0,31801
"P1_H406",1,1,1,43486,1,39477
"P1_H407",1,1,1,70882,1,39773
"P1_H408",1,1,1,64300,1,73194
"P1_H409",1,1,1,47064,1,56993
"P1_H410",1,1,1,55218,1,28582
"P1_H411",1,1,1,49533,1,41039
"P1_H412",1,1,1,97791,0,37727
"P1_H413",1,1,1,49064,1,39443
"P1_H414",1,1,1,41853,0,56065
"P1_H415",1,1,1,37844,1,42448
"P1_H416",1,1,1,36126,0,47927
"P1_H417",1,1,1,43497,0,52126
"P1_H418",1,1,1,55450,1,73467
"P1_H419",1,1,1,27988,1,43755
"P1_H420",1,1,1,65700,1,40364
"P1_H421",1,1,1,43859,0,47981
"P1_H422",1,1,1,28906,1,44704
"P1_H423",1,1,1,53486,0,70847
"P1_H424",1,1,1,57768,1,36883
"P1_H425",1,1,1,36133,1,35394
"P1_H426",1,1,1,49139,1,47031
"P1_H427",1,1,1,75245,1,45345
"P1_H428",1,1,1,31368,1,74638
"P1_H429",1,1,1,47377,0,41309
"P1_H430",1,1,1,33399,0,47655
"P1_H431",1,1,1,71873,1,43207
"P1_H432",1,1,1,48787,1,36562
"P1_H433",1,1,1,53278,1,51317
"P1_H434",1,1,1,45117,1,14648
"P1_H435",1,1,1,121494,1,39629
"P1_H436",1,1,1,55647,1,44331
"P1_H437",1,1,1,112689,1,38227
"P1_H438",1,1,1,76658,1,47546
"P1_H439",1,1,1,50789,1,31885
"P1_H440",1,1,1,82842,1,62143
"P1_H441",1,1,1,50100,0,42731
"P1_H442",1,1,1,58057,1,46645
"P1_H443",1,1,1,43436,1,51820
"P1_H444",1,1,1,57086,0,37943
"P1_H445",1,1,1,28820,1,71220
"P1_H446",1,1,1,53599,1,31635
"P1_H447",1,1,1,53355,1,52206
"P1_H448",1,1,1,28495,1,43140
"P1_H449",1,1,1,20653,0,37871
"P1_H450",1,1,1,36454,1,58333
"P1_H451",1,1,1,39876,0,51920
"P1_H452",1,1,1,21518,1,43122
"P1_H453",1,1,1,59898,1,33077
"P1_H454",1,1,1,72738,1,44512
"P1_H455",1,1,1,79981,0,45570
"P1_H456",1,1,1,33705,0,64490
"P1_H457",1,1,1,74278,1,55006
"P1_H458",1,1,1,35028,1,30198
"P1_H459",1,1,1,138300,1,55439
"P1_H460",1,1,1,68236,1,54425
"P1_H461",1,1,1,62185,1,35985
"P1_H462",1,1,1,130968,1,28534
"P1_H463",1,1,1,36434,0,38725
"P1_H464",1,1,1,43860,0,56353
"P1_H465",1,1,1,78142,1,56921
"P1_H466",1,1,1,58941,1,67343
"P1_H467",1,1,1,57485,1,36218
"P1_H468",1,1,1,49026,1,34374
"P1_H469",1,1,1,30538,0,30745
"P1_H470",1,1,1,83000,0,32476
"P1_H471",1,1,1,70848,1,45738
"P1_H472",1,1,1,43785,1,44672
"P1_H473",1,1,1,52605,1,27813
"P1_H474",1,1,1,66819,1,55291
"P1_H475",1,1,1,53936,1,54135
"P1_H476",1,1,1,66464,1,64543
"P1_H477",1,1,1,31372,1,35685
"P1_H478",1,1,1,59098,1,53846
"P1_H479",1,1,1,48044,0,44524
"P1_H480",1,1,1,81526,0,57263
"P1_H481",1,1,1,65022,1,43148
"P1_H482",1,1,1,74774,1,53225
"P1_H483",1,1,1,77407,1,44334
"P1_H484",1,1,1,38690,0,31375
"P1_H485",1,1,1,60215,0,39583
"P1_H486",1,1,1,115014,1,36826
"P1_H487",1,1,1,60889,1,28757
"P1_H488",1,1,1,81134,1,54570
"P1_H489",1,1,1,51425,1,28963
"P1_H490",1,1,1,39693,0,64712
"P1_H491",1,1,1,70988,1,31086
"P1_H492",1,1,1,78327,1,51338
"P1_H493",1,1,1,29195,1,39024
"P1_H494",1,1,1,123081,1,50357
"P1_H495",1,1,1,37224,1,49977
"P1_H496",1,1,1,63093,1,31664
"P1_H497",1,1,1,39387,1,34684
"P1_H498",1,1,1,82656,1,35603
"P1_H499",1,1,1,28791,1,66855
"P1_H500",1,1,1,29257,1,49148
"P1_H501",1,1,1,67475,0,34377
"P1_H502",1,1,1,55081,0,35024
"P1_H503",1,1,1,92375,0,50838
"P1_H504",1,1,1,78403,1,32538
"P1_H505",1,1,1,47717,1,78429
"P1_H506",1,1,1,82031,0,35038
"P1_H507",1,1,1,42147,1,52742
"P1_H508",1,1,1,44011,1,42952
"P1_H509",1,1,1,82434,1,39069
"P1_H510",1,1,1,53282,1,47525
"P1_H511",1,1,1,38048,1,70007
"P1_H512",1,1,1,50225,1,35653
"P1_H513",1,1,1,53759,1,38177
"P1_H514",1,1,1,38639,0,43704
"P1_H515",1,1,1,53167,1,94310
"P1_H516",1,1,1,71286,0,26884
"P1_H517",1,1,1,31327,1,39379
"P1_H518",1,1,1,35105,0,27878
"P1_H519",1,1,1,52381,0,41846
"P1_H520",1,1,1,23166,1,35689
"P1_H521",1,1,1,83574,0,22132
"P1_H522",1,1,1,38561,0,37107
"P1_H523",1,1,1,45845,1,46339
"P1_H524",1,1,1,96999,1,22944
"P1_H525",1,1,1,81647,1,40890
"P1_H526",1,1,1,24631,0,56101
"P1_H527",1,1,1,86999,1,22255
"P1_H528",1,1,1,55572,0,32887
"P1_H529",1,1,1,30988,1,53424
"P1_H530",1,1,1,92838,0,41379
"P1_H531",1,1,1,83930,0,47147
"P1_H532",1,1,1,76963,1,60749
"P1_H533",1,1,1,53797,0,63261
"P1_H534",1,1,1,36938,1,52190
"P1_H535",1,1,1,86582,0,28885
"P1_H536",1,1,1,31791,1,40540
"P1_H537",1,1,1,29702,0,45615
"P1_H538",1,1,1,42223,1,53423
"P1_H539",1,1,1,56195,1,54426
"P1_H540",1,1,1,42141,1,30424
"P1_H541",1,1,1,45790,0,20557
"P1_H542",1,1,1,24689,1,62516
"P1_H543",1,1,1,115691,1,31672
"P1_H544",1,1,1,59838,0,76318
"P1_H545",1,1,1,35503,0,32522
"P1_H546",1,1,1,56330,1,29122
"P1_H547",1,1,1,36157,0,30129
"P1_H548",1,1,1,50211,1,36051
"P1_H549",1,1,1,76998,0,39505
"P1_H550",1,1,1,53989,0,34421
"P1_H551",1,1,1,30558,0,30058
"P1_H552",1,1,1,85238,0,27878
"P1_H553",1,1,1,28368,0,40373
"P1_H554",1,1,1,82286,1,54103
"P1_H555",1,1,1,52242,1,37736
"P1_H556",1,1,1,118363,0,27001
"P1_H557",1,1,1,27960,1,31979
"P1_H558",1,1,1,19038,1,81824
"P1_H559",1,1,1,76710,1,50690
"P1_H560",1,1,1,56980,1,45221
"P1_H561",1,1,1,53497,0,43782
"P1_H562",1,1,1,59807,0,33548
"P1_H563",1,1,1,46129,1,35759
"P1_H564",1,1,1,85530,0,37797
"P1_H565",1,1,1,99518,1,50925
"P1_H566",1,1,1,66663,1,56301
"P1_H567",1,1,1,55098,0,35780
"P1_H568",1,1,1,34444,1,49855
"P1_H569",1,1,1,72840,0,33356
"P1_H570",1,1,1,33634,1,38809
"P1_H571",1,1,1,46606,1,29779
"P1_H572",1,1,1,47674,1,81599
"P1_H573",1,1,1,34759,0,49501
"P1_H574",1,1,1,114835,1,105639
"P1_H575",1,1,1,39625,0,31913
"P1_H576",1,1,1,31813,1,42011
"P1_H577",1,1,1,33447,1,32392
"P1_H578",1,1,1,47576,1,26143
"P1_H579",1,1,1,48091,0,39736
"P1_H580",1,1,1,34210,0,85705
"P1_H581",1,1,1,32916,1,42762
"P1_H582",1,1,1,55032,0,50677
"P1_H583",1,1,1,68612,1,43991
"P1_H584",1,1,1,93849,0,29692
"P1_H585",1,1,1,60798,0,63391
"P1_H586",1,1,1,51388,1,58957
"P1_H587",1,1,1,76733,1,45637
"P1_H588",1,1,1,35450,1,44570
"P1_H589",1,1,1,75664,1,54539
"P1_H590",1,1,1,55160,1,30870
"P1_H591",1,1,1,120935,0,42602
"P1_H592",1,1,1,62224,1,28939
"P1_H593",1,1,1,36167,1,60382
"P1_H594",1,1,1,62401,1,39185
"P1_H595",1,1,1,67312,1,43606
"P1_H596",1,1,1,54451,0,58286
"P1_H597",1,1,1,39969,0,30376
"P1_H598",1,1,1,58923,0,43804
"P1_H599",1,1,1,55093,0,28436
"P1_H600",1,1,1,18599,1,39864
"P1_H601",1,1,1,46777,1,32134
"P1_H602",1,1,1,36468,1,51858
"P1_H603",1,1,1,39844,0,22012
"P1_H604",1,1,1,39274,1,43156
"P1_H605",1,1,1,68503,1,56189
"P1_H606",1,1,1,39846,1,47869
"P1_H607",1,1,1,65599,1,49735
"P1_H608",1,1,1,47856,0,51228
"P1_H609",1,1,1,51891,1,34773
"P1_H610",1,1,1,78229,1,54673
"P1_H611",1,1,1,53064,0,23000
"P1_H612",1,1,1,54315,1,37373
"P1_H613",1,1,1,68983,0,75567
"P1_H614",1,1,1,53880,1,41133
"P1_H615",1,1,1,36015,0,38190
"P1_H616",1,1,1,56504,1,40551
"P1_H617",1,1,1,55714,0,23650
"P1_H618",1,1,1,37829,1,35044
"P1_H619",1,1,1,80588,1,36872
"P1_H620",1,1,1,38420,1,43214
"P1_H621",1,1,1,70249,1,31614
"P1_H622",1,1,1,86256,1,24539
"P1_H623",1,1,1,47310,0,30058
"P1_H624",1,1,1,29924,1,67731
"P1_H625",1,1,1,30037,1,28402
"P1_H626",1,1,1,45820,0,35612
"P1_H627",1,1,1,136363,0,42868
"P1_H628",1,1,1,47555,1,52736
"P1_H629",1,1,1,51117,1,55693
"P1_H630",1,1,1,57545,1,47829
"P1_H631",1,1,1,72635,0,43090
"P1_H632",1,1,1,69534,0,28595
"P1_H633",1,1,1,42378,1,26293
"P1_H634",1,1,1,71353,0,54913
"P1_H635",1,1,1,56149,0,48594
"P1_H636",1,1,1,60593,0,26722
"P1_H637",1,1,1,61152,0,23861
"P1_H638",1,1,1,22732,1,21922
"P1_H639",1,1,1,44073,0,38347
"P1_H640",1,1,1,48714,0,48245
"P1_H641",1,1,1,72193,0,33523
"P1_H642",1,1,1,70676,1,36360
"P1_H643",1,1,1,50721,1,30957
"P1_H644",1,1,1,40987,0,49910
"P1_H645",1,1,1,33235,1,39978
"P1_H646",1,1,1,69357,1,57840
"P1_H647",1,1,1,56561,0,70543
"P1_H648",1,1,1,29037,1,66961
"P1_H649",1,1,1,51094,1,50494
"P1_H650",1,1,1,66650,1,49534
"P1_H651",1,1,1,57693,0,36023
"P1_H652",1,1,1,76732,1,43637
"P1_H653",1,1,1,153514,1,47551
"P1_H654",1,1,1,62232,1,53966
"P1_H655",1,1,1,33016,1,48926
"P1_H656",1,1,1,46190,1,21756
"P1_H657",1,1,1,36962,1,42146
"P1_H658",1,1,1,52769,0,32894
"P1_H659",1,1,1,33900,1,67285
"P1_H660",1,1,1,74967,0,36999
"P1_H661",1,1,1,69739,0,39727
"P1_H662",1,1,1,48929,1,55504
"P1_H663",1,1,1,56088,1,24357
"P1_H664",1,1,1,46441,1,37516
