"id","province","area","psu_id","income","household_size","has_electricity","employment_status","education_years","dwelling_type","water_access","internet_access","health_insurance","chronic_illness","known_pop_province","known_pop_area","stratum","psu_size"
42,"Western Cape","Rural",141,2786.3,3,1,"Employed",9,"Formal","Public_Tap",0,1,0,4700000,13300000,"Western Cape_Rural",51
43,"KZN","Rural",52,19287,7,0,"Not in Labor Force",4,"Formal","Other",1,0,0,11500000,13300000,"KZN_Rural",73
44,"KZN","Urban",170,47630.4,7,1,"Not in Labor Force",6,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",52
45,"Western Cape","Urban",85,10137.1,2,1,"Employed",10,"Formal","Piped",0,0,0,4700000,24500000,"Western Cape_Urban",52
46,"KZN","Urban",11,12209.6,2,1,"Unemployed",11,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",59
47,"KZN","Rural",46,37894,4,0,"Unemployed",6,"Formal","Piped",1,0,0,11500000,13300000,"KZN_Rural",57
48,"Gauteng","Urban",41,247044.6,7,1,"Not in Labor Force",9,"Formal","Public_Tap",1,1,0,15800000,24500000,"Gauteng_Urban",46
49,"Limpopo","Urban",10,3943.8,6,1,"Employed",7,"Formal","Well",1,1,0,5800000,24500000,"Limpopo_Urban",49
50,"Limpopo","Urban",44,37332.4,5,1,"Employed",10,"Formal","Piped",0,1,1,5800000,24500000,"Limpopo_Urban",43
51,"Gauteng","Rural",87,22662,9,1,"Not in Labor Force",15,"Formal","Piped",0,1,0,15800000,13300000,"Gauteng_Rural",47
52,"Limpopo","Urban",129,199368.4,1,1,"Employed",12,"Formal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",55
53,"KZN","Urban",148,52993.6,4,1,"Employed",8,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",59
54,"KZN","Urban",169,114659.2,4,1,"Unemployed",14,"Formal","Other",0,1,0,11500000,24500000,"KZN_Urban",46
55,"Limpopo","Urban",123,176646.4,2,1,"Employed",10,"Informal","Well",0,0,0,5800000,24500000,"Limpopo_Urban",64
56,"Limpopo","Urban",116,5335.4,4,1,"Not in Labor Force",4,"Traditional","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",50
57,"Gauteng","Urban",49,23652,5,1,"Not in Labor Force",16,"Formal","Well",1,0,0,15800000,24500000,"Gauteng_Urban",51
58,"Gauteng","Rural",126,13528.8,5,1,"Employed",14,"Formal","Piped",1,0,0,15800000,13300000,"Gauteng_Rural",52
59,"KZN","Rural",16,6115,5,1,"Not in Labor Force",11,"Formal","Piped",0,1,0,11500000,13300000,"KZN_Rural",53
60,"Gauteng","Rural",73,176954.4,5,1,"Employed",10,"Informal","Well",0,0,0,15800000,13300000,"Gauteng_Rural",44
61,"Gauteng","Urban",111,67296.6,7,1,"Not in Labor Force",8,"Formal","Public_Tap",1,1,1,15800000,24500000,"Gauteng_Urban",45
62,"KZN","Rural",141,13226,7,1,"Not in Labor Force",10,"Formal","Piped",0,1,0,11500000,13300000,"KZN_Rural",51
63,"KZN","Urban",61,66673.6,2,1,"Employed",8,"Formal","Public_Tap",0,1,0,11500000,24500000,"KZN_Urban",53
64,"KZN","Urban",180,16600,6,0,"Not in Labor Force",6,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",41
65,"Gauteng","Rural",30,19628.4,5,1,"Employed",7,"Informal","Piped",0,1,0,15800000,13300000,"Gauteng_Rural",49
66,"Limpopo","Rural",172,18122.4,5,1,"Not in Labor Force",13,"Formal","Public_Tap",0,0,1,5800000,13300000,"Limpopo_Rural",60
67,"Western Cape","Urban",166,5501.2,3,1,"Not in Labor Force",4,"Formal","Public_Tap",1,1,0,4700000,24500000,"Western Cape_Urban",40
68,"Limpopo","Urban",104,57652,5,0,"Not in Labor Force",14,"Formal","Public_Tap",1,1,0,5800000,24500000,"Limpopo_Urban",53
69,"Gauteng","Urban",141,15820.2,2,0,"Not in Labor Force",13,"Formal","Public_Tap",1,1,0,15800000,24500000,"Gauteng_Urban",51
70,"Gauteng","Rural",118,12378,6,1,"Not in Labor Force",20,"Informal","Piped",1,0,1,15800000,13300000,"Gauteng_Rural",47
71,"Limpopo","Urban",27,54206.6,7,1,"Unemployed",15,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",52
72,"Gauteng","Urban",64,74831.4,3,0,"Employed",12,"Traditional","Public_Tap",1,0,0,15800000,24500000,"Gauteng_Urban",64
73,"KZN","Urban",89,21900.8,4,1,"Unemployed",10,"Formal","Piped",0,1,1,11500000,24500000,"KZN_Urban",68
74,"KZN","Urban",82,36486.4,3,1,"Not in Labor Force",6,"Formal","Well",0,0,0,11500000,24500000,"KZN_Urban",51
75,"Gauteng","Urban",109,210281.4,5,1,"Unemployed",8,"Informal","Public_Tap",0,0,0,15800000,24500000,"Gauteng_Urban",56
76,"Limpopo","Urban",176,7849.8,3,1,"Not in Labor Force",10,"Informal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",59
77,"Gauteng","Urban",101,10958.4,4,1,"Not in Labor Force",16,"Informal","Well",0,0,0,15800000,24500000,"Gauteng_Urban",47
78,"Gauteng","Rural",64,33098.4,4,1,"Employed",8,"Formal","Public_Tap",0,1,0,15800000,13300000,"Gauteng_Rural",64
79,"Limpopo","Urban",52,17246.6,5,1,"Not in Labor Force",13,"Formal","Piped",0,0,0,5800000,24500000,"Limpopo_Urban",73
80,"Gauteng","Rural",175,3805.2,3,1,"Unemployed",12,"Formal","Piped",1,0,0,15800000,13300000,"Gauteng_Rural",35
81,"Gauteng","Rural",133,94330.8,2,1,"Not in Labor Force",10,"Informal","Piped",1,1,1,15800000,13300000,"Gauteng_Rural",49
82,"Gauteng","Urban",151,115882.2,5,0,"Unemployed",10,"Formal","Piped",0,0,0,15800000,24500000,"Gauteng_Urban",42
83,"KZN","Urban",159,29980.8,6,1,"Employed",11,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",58
84,"Gauteng","Urban",70,9763.2,5,1,"Employed",10,"Traditional","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",57
85,"Limpopo","Rural",29,25133.4,5,0,"Not in Labor Force",8,"Formal","Piped",1,0,0,5800000,13300000,"Limpopo_Rural",50
86,"KZN","Urban",135,156220.8,2,0,"Employed",11,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",30
87,"Western Cape","Rural",143,20862.6,8,1,"Not in Labor Force",14,"Formal","Other",0,0,0,4700000,13300000,"Western Cape_Rural",60
88,"Gauteng","Urban",75,29653.2,4,1,"Not in Labor Force",6,"Formal","Public_Tap",0,1,0,15800000,24500000,"Gauteng_Urban",50
89,"Gauteng","Rural",62,67068,5,1,"Not in Labor Force",9,"Formal","Well",1,0,0,15800000,13300000,"Gauteng_Rural",51
90,"Western Cape","Urban",135,31847.8,1,1,"Not in Labor Force",13,"Formal","Public_Tap",0,1,0,4700000,24500000,"Western Cape_Urban",30
91,"KZN","Rural",14,4958,2,1,"Unemployed",10,"Formal","Other",1,0,0,11500000,13300000,"KZN_Rural",46
92,"Western Cape","Urban",85,200987.6,2,0,"Employed",10,"Formal","Piped",1,0,0,4700000,24500000,"Western Cape_Urban",52
93,"KZN","Urban",161,31059.2,3,1,"Not in Labor Force",11,"Informal","Piped",1,0,1,11500000,24500000,"KZN_Urban",45
94,"Gauteng","Rural",68,23720.4,3,1,"Not in Labor Force",7,"Formal","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",58
95,"Limpopo","Urban",127,29596,6,1,"Not in Labor Force",5,"Formal","Well",1,1,0,5800000,24500000,"Limpopo_Urban",49
96,"Gauteng","Urban",118,86803.2,5,1,"Unemployed",15,"Formal","Public_Tap",1,0,0,15800000,24500000,"Gauteng_Urban",47
97,"Limpopo","Urban",38,14680.4,5,1,"Employed",9,"Traditional","Well",1,0,0,5800000,24500000,"Limpopo_Urban",56
98,"KZN","Urban",190,118414.4,9,1,"Not in Labor Force",7,"Formal","Public_Tap",0,1,0,11500000,24500000,"KZN_Urban",37
99,"Western Cape","Urban",148,81654.4,4,0,"Unemployed",7,"Formal","Public_Tap",0,1,0,4700000,24500000,"Western Cape_Urban",59
100,"KZN","Urban",83,63481.6,2,1,"Not in Labor Force",10,"Formal","Well",1,1,0,11500000,24500000,"KZN_Urban",59
101,"Gauteng","Urban",197,441,2,1,"Employed",14,"Formal","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",50
102,"Limpopo","Urban",20,8054.2,4,1,"Employed",17,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",53
103,"Gauteng","Rural",97,198842.4,2,1,"Employed",6,"Traditional","Well",1,0,0,15800000,13300000,"Gauteng_Rural",52
104,"KZN","Urban",71,118128,8,1,"Unemployed",11,"Formal","Well",1,0,0,11500000,24500000,"KZN_Urban",55
105,"Gauteng","Urban",158,61045.2,4,1,"Unemployed",8,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",59
106,"Limpopo","Urban",171,73868.2,5,1,"Employed",13,"Formal","Piped",0,1,0,5800000,24500000,"Limpopo_Urban",50
107,"Gauteng","Urban",151,12310.2,5,1,"Employed",10,"Formal","Public_Tap",1,0,1,15800000,24500000,"Gauteng_Urban",42
108,"Gauteng","Urban",79,25261.2,8,1,"Employed",12,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",49
109,"Gauteng","Urban",177,19587.6,4,0,"Not in Labor Force",4,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",53
110,"Limpopo","Urban",180,17558.8,6,1,"Unemployed",11,"Formal","Public_Tap",1,1,1,5800000,24500000,"Limpopo_Urban",41
111,"Gauteng","Urban",198,87417,4,1,"Employed",5,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",43
112,"KZN","Urban",193,32115.2,6,0,"Unemployed",7,"Informal","Public_Tap",0,0,1,11500000,24500000,"KZN_Urban",43
113,"Limpopo","Urban",83,28084,3,1,"Unemployed",11,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",59
114,"Gauteng","Urban",181,35899.2,4,1,"Not in Labor Force",6,"Informal","Piped",0,0,0,15800000,24500000,"Gauteng_Urban",43
115,"KZN","Urban",167,11667.2,6,1,"Not in Labor Force",12,"Informal","Public_Tap",1,0,0,11500000,24500000,"KZN_Urban",57
116,"Western Cape","Urban",3,66504,9,1,"Not in Labor Force",5,"Formal","Piped",1,0,0,4700000,24500000,"Western Cape_Urban",54
117,"Limpopo","Urban",37,24021.2,2,1,"Not in Labor Force",6,"Informal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",53
118,"Gauteng","Urban",147,726300,4,1,"Employed",10,"Formal","Well",1,1,0,15800000,24500000,"Gauteng_Urban",54
119,"KZN","Rural",61,36914,7,1,"Employed",11,"Formal","Piped",1,1,0,11500000,13300000,"KZN_Rural",53
120,"Gauteng","Urban",191,14596.2,6,1,"Not in Labor Force",5,"Traditional","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",46
121,"Western Cape","Urban",115,96762.3,6,1,"Employed",10,"Formal","Well",1,0,0,4700000,24500000,"Western Cape_Urban",68
122,"Gauteng","Urban",36,23349.6,7,1,"Employed",7,"Formal","Public_Tap",0,0,0,15800000,24500000,"Gauteng_Urban",45
123,"Limpopo","Rural",73,55999.8,5,1,"Not in Labor Force",11,"Formal","Public_Tap",0,1,0,5800000,13300000,"Limpopo_Rural",44
124,"Gauteng","Urban",164,9304.2,4,1,"Employed",13,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",45
125,"Limpopo","Urban",77,52924.2,2,1,"Not in Labor Force",5,"Formal","Piped",1,1,1,5800000,24500000,"Limpopo_Urban",47
126,"Gauteng","Urban",143,40140,5,1,"Employed",3,"Formal","Piped",1,1,1,15800000,24500000,"Gauteng_Urban",60
127,"KZN","Urban",75,17460.8,2,1,"Employed",13,"Formal","Piped",0,1,0,11500000,24500000,"KZN_Urban",50
128,"Limpopo","Urban",195,24330.6,6,0,"Not in Labor Force",13,"Formal","Piped",0,0,1,5800000,24500000,"Limpopo_Urban",51
129,"Western Cape","Urban",114,16131.3,3,0,"Not in Labor Force",13,"Traditional","Public_Tap",0,0,0,4700000,24500000,"Western Cape_Urban",62
130,"Western Cape","Urban",164,15524.4,3,1,"Unemployed",9,"Formal","Well",1,1,1,4700000,24500000,"Western Cape_Urban",45
131,"KZN","Rural",121,10610,4,1,"Not in Labor Force",9,"Formal","Piped",1,1,1,11500000,13300000,"KZN_Rural",46
132,"Gauteng","Urban",150,180313.2,5,1,"Not in Labor Force",12,"Informal","Piped",0,1,0,15800000,24500000,"Gauteng_Urban",53
133,"Gauteng","Urban",81,13984.2,3,1,"Employed",8,"Formal","Public_Tap",1,0,0,15800000,24500000,"Gauteng_Urban",52
134,"KZN","Rural",154,421361,3,1,"Employed",8,"Formal","Public_Tap",1,0,0,11500000,13300000,"KZN_Rural",46
135,"Limpopo","Urban",101,14323.4,4,1,"Employed",9,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",47
136,"Limpopo","Urban",60,46435.2,4,1,"Employed",7,"Formal","Public_Tap",0,0,0,5800000,24500000,"Limpopo_Urban",33
137,"Limpopo","Urban",24,8877.4,7,0,"Not in Labor Force",9,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",59
138,"Gauteng","Urban",139,21247.2,4,1,"Employed",11,"Formal","Public_Tap",0,1,0,15800000,24500000,"Gauteng_Urban",52
139,"Gauteng","Urban",183,24145.2,7,0,"Employed",8,"Formal","Well",0,0,0,15800000,24500000,"Gauteng_Urban",51
140,"KZN","Urban",163,132465.6,2,0,"Employed",3,"Informal","Public_Tap",1,0,0,11500000,24500000,"KZN_Urban",41
141,"Western Cape","Urban",172,36573.8,3,1,"Not in Labor Force",11,"Formal","Piped",0,1,0,4700000,24500000,"Western Cape_Urban",60
142,"KZN","Rural",17,162074,4,1,"Employed",13,"Formal","Piped",1,1,0,11500000,13300000,"KZN_Rural",56
143,"Gauteng","Urban",125,25372.8,7,0,"Unemployed",13,"Informal","Public_Tap",0,1,0,15800000,24500000,"Gauteng_Urban",48
144,"KZN","Urban",114,79139.2,5,1,"Not in Labor Force",13,"Formal","Public_Tap",1,0,0,11500000,24500000,"KZN_Urban",62
145,"KZN","Urban",130,186518.4,5,1,"Not in Labor Force",5,"Formal","Piped",1,1,0,11500000,24500000,"KZN_Urban",67
146,"Western Cape","Rural",184,436264.4,6,1,"Unemployed",15,"Formal","Piped",1,1,0,4700000,13300000,"Western Cape_Rural",47
147,"KZN","Urban",42,27060.8,7,1,"Employed",6,"Formal","Other",1,1,0,11500000,24500000,"KZN_Urban",54
148,"Gauteng","Rural",11,32712,4,1,"Not in Labor Force",6,"Formal","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",59
149,"KZN","Urban",32,76240,4,1,"Employed",6,"Formal","Well",1,1,1,11500000,24500000,"KZN_Urban",53
150,"KZN","Rural",99,113093,2,1,"Not in Labor Force",9,"Formal","Public_Tap",1,0,1,11500000,13300000,"KZN_Rural",45
151,"KZN","Urban",98,55200,2,1,"Employed",7,"Traditional","Well",1,1,1,11500000,24500000,"KZN_Urban",59
152,"KZN","Urban",32,35092.8,7,1,"Not in Labor Force",18,"Formal","Well",1,1,0,11500000,24500000,"KZN_Urban",53
153,"Western Cape","Rural",75,5338.3,5,1,"Not in Labor Force",7,"Informal","Piped",1,0,0,4700000,13300000,"Western Cape_Rural",50
154,"Gauteng","Urban",133,8773.2,4,1,"Employed",7,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",49
155,"Limpopo","Rural",53,69059.7,4,1,"Employed",18,"Formal","Piped",1,1,0,5800000,13300000,"Limpopo_Rural",50
156,"KZN","Rural",31,90290,5,1,"Unemployed",9,"Formal","Public_Tap",1,0,0,11500000,13300000,"KZN_Rural",50
157,"Gauteng","Urban",48,9540,3,1,"Not in Labor Force",9,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",60
158,"Gauteng","Rural",116,89762.4,4,0,"Not in Labor Force",9,"Formal","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",50
159,"KZN","Urban",177,248894.4,2,1,"Employed",14,"Informal","Public_Tap",1,1,0,11500000,24500000,"KZN_Urban",53
160,"Gauteng","Rural",177,65180.4,5,1,"Unemployed",8,"Traditional","Piped",1,1,0,15800000,13300000,"Gauteng_Rural",53
161,"Gauteng","Urban",145,15759,7,1,"Not in Labor Force",9,"Informal","Well",1,0,0,15800000,24500000,"Gauteng_Urban",58
162,"Limpopo","Urban",167,132428.8,6,0,"Unemployed",9,"Informal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",57
163,"Limpopo","Urban",4,3161.2,3,1,"Not in Labor Force",9,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",46
164,"Gauteng","Rural",120,7754.4,2,0,"Not in Labor Force",12,"Informal","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",52
165,"Limpopo","Urban",101,10518.2,4,1,"Employed",6,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",47
166,"Limpopo","Urban",85,14789.6,3,0,"Not in Labor Force",14,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",52
167,"Gauteng","Urban",157,35893.8,3,1,"Not in Labor Force",15,"Informal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",63
168,"KZN","Urban",189,36580.8,8,1,"Not in Labor Force",8,"Formal","Piped",0,0,0,11500000,24500000,"KZN_Urban",51
169,"KZN","Urban",130,18120,6,1,"Employed",7,"Formal","Piped",1,0,0,11500000,24500000,"KZN_Urban",67
170,"KZN","Urban",47,137168,2,0,"Unemployed",13,"Formal","Other",1,0,0,11500000,24500000,"KZN_Urban",50
171,"Western Cape","Rural",30,10454.4,6,1,"Not in Labor Force",7,"Formal","Piped",0,1,0,4700000,13300000,"Western Cape_Rural",49
172,"Limpopo","Urban",88,110598.6,4,0,"Employed",9,"Traditional","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",47
173,"KZN","Urban",110,49584,3,0,"Employed",9,"Traditional","Piped",0,0,0,11500000,24500000,"KZN_Urban",60
174,"Limpopo","Urban",73,43754.2,4,1,"Employed",18,"Informal","Public_Tap",0,1,0,5800000,24500000,"Limpopo_Urban",44
175,"KZN","Urban",36,79076.8,7,0,"Employed",10,"Formal","Public_Tap",0,1,0,11500000,24500000,"KZN_Urban",45
176,"KZN","Urban",98,16028.8,3,1,"Employed",11,"Formal","Public_Tap",1,1,0,11500000,24500000,"KZN_Urban",59
177,"KZN","Urban",185,8433.6,4,1,"Not in Labor Force",9,"Informal","Well",0,0,1,11500000,24500000,"KZN_Urban",47
178,"Gauteng","Rural",116,54193.2,4,1,"Employed",10,"Traditional","Piped",1,1,0,15800000,13300000,"Gauteng_Rural",50
179,"Limpopo","Urban",170,9592.8,10,1,"Unemployed",4,"Formal","Piped",1,1,0,5800000,24500000,"Limpopo_Urban",52
180,"KZN","Rural",132,34105,2,1,"Not in Labor Force",18,"Formal","Piped",1,0,0,11500000,13300000,"KZN_Rural",67
181,"Gauteng","Urban",113,48198.6,4,0,"Not in Labor Force",12,"Formal","Other",1,1,0,15800000,24500000,"Gauteng_Urban",50
182,"Western Cape","Rural",142,33415.8,3,0,"Employed",16,"Formal","Piped",1,0,0,4700000,13300000,"Western Cape_Rural",49
183,"Gauteng","Urban",109,39182.4,5,1,"Employed",7,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",56
184,"Limpopo","Rural",60,14794.2,4,1,"Not in Labor Force",14,"Formal","Public_Tap",1,1,0,5800000,13300000,"Limpopo_Rural",33
185,"Gauteng","Urban",95,148645.8,4,1,"Unemployed",9,"Formal","Other",0,0,1,15800000,24500000,"Gauteng_Urban",46
186,"Western Cape","Urban",11,75005.7,2,1,"Unemployed",8,"Formal","Piped",0,1,0,4700000,24500000,"Western Cape_Urban",59
187,"Limpopo","Urban",145,48703.2,2,0,"Not in Labor Force",9,"Formal","Piped",1,0,0,5800000,24500000,"Limpopo_Urban",58
188,"Limpopo","Rural",188,176906.7,7,1,"Not in Labor Force",11,"Formal","Piped",0,0,0,5800000,13300000,"Limpopo_Rural",49
189,"Limpopo","Rural",11,50979.6,4,1,"Employed",8,"Formal","Piped",0,0,0,5800000,13300000,"Limpopo_Rural",59
190,"Gauteng","Urban",156,61576.2,6,1,"Not in Labor Force",8,"Formal","Piped",1,1,0,15800000,24500000,"Gauteng_Urban",53
191,"Gauteng","Urban",93,221707.8,4,1,"Unemployed",7,"Formal","Well",1,1,0,15800000,24500000,"Gauteng_Urban",55
192,"Gauteng","Urban",181,176878.8,6,0,"Not in Labor Force",11,"Informal","Public_Tap",1,0,0,15800000,24500000,"Gauteng_Urban",43
193,"Gauteng","Rural",111,33459.6,6,1,"Unemployed",12,"Formal","Piped",0,0,0,15800000,13300000,"Gauteng_Rural",45
194,"Gauteng","Urban",21,34295.4,4,0,"Employed",12,"Formal","Piped",1,0,0,15800000,24500000,"Gauteng_Urban",60
195,"Gauteng","Rural",137,44408.4,4,1,"Employed",13,"Formal","Public_Tap",1,0,0,15800000,13300000,"Gauteng_Rural",61
196,"Gauteng","Urban",79,25471.8,4,1,"Employed",8,"Formal","Piped",0,0,0,15800000,24500000,"Gauteng_Urban",49
197,"KZN","Urban",140,53592,3,1,"Not in Labor Force",12,"Formal","Piped",0,1,0,11500000,24500000,"KZN_Urban",54
198,"KZN","Urban",132,262504,3,1,"Employed",8,"Informal","Piped",1,0,1,11500000,24500000,"KZN_Urban",67
199,"Western Cape","Urban",93,118549.5,4,1,"Not in Labor Force",10,"Informal","Piped",1,0,1,4700000,24500000,"Western Cape_Urban",55
200,"Western Cape","Urban",52,37092.3,5,0,"Not in Labor Force",6,"Formal","Piped",1,0,0,4700000,24500000,"Western Cape_Urban",73
201,"Western Cape","Rural",36,48917,7,1,"Not in Labor Force",10,"Traditional","Piped",1,1,0,4700000,13300000,"Western Cape_Rural",45
